"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"88049","BELMONT LES DARNEY","88260","BELMONT LES DARNEY",,"48.085514630454824,6.015248538552407","48.085514630454824","6.015248538552407"
"88050","BELMONT SUR BUTTANT","88600","BELMONT SUR BUTTANT",,"48.222195515393636,6.768861173942127","48.222195515393636","6.768861173942127"
"88051","BELMONT SUR VAIR","88800","BELMONT SUR VAIR",,"48.2579328520083,5.913493611414967","48.2579328520083","5.913493611414967"
"88052","BELRUPT","88260","BELRUPT",,"48.09462544875851,6.085256149144778","48.09462544875851","6.085256149144778"
"88053","BELVAL","88210","BELVAL",,"48.41223319462919,7.069676010579669","48.41223319462919","7.069676010579669"
"88054","BERTRIMOUTIER","88520","BERTRIMOUTIER",,"48.265462235021175,7.0606467098941845","48.265462235021175","7.0606467098941845"
"88055","BETTEGNEY ST BRICE","88450","BETTEGNEY ST BRICE",,"48.304590931900464,6.31217376501127","48.304590931900464","6.31217376501127"
"88056","BETTONCOURT","88500","BETTONCOURT",,"48.33921052273294,6.163516448419703","48.33921052273294","6.163516448419703"
"88057","LE BEULAY","88490","LE BEULAY",,"48.304777936740194,7.065116011968064","48.304777936740194","7.065116011968064"
"88058","BIECOURT","88170","BIECOURT",,"48.324272266982646,5.953468507722326","48.324272266982646","5.953468507722326"
"88059","BIFFONTAINE","88430","BIFFONTAINE",,"48.21219703847477,6.818295777845132","48.21219703847477","6.818295777845132"
"88060","BLEMEREY","88500","BLEMEREY",,"48.358591903529074,6.042537934031046","48.358591903529074","6.042537934031046"
"88061","BLEURVILLE","88410","BLEURVILLE",,"48.06773048427827,5.958811389186657","48.06773048427827","5.958811389186657"
"88062","BLEVAINCOURT","88320","BLEVAINCOURT",,"48.121654392107125,5.710727115787446","48.121654392107125","5.710727115787446"
"88063","BOCQUEGNEY","88270","BOCQUEGNEY",,"48.22336490384365,6.311396762440051","48.22336490384365","6.311396762440051"
"88064","BOIS DE CHAMP","88600","BOIS DE CHAMP",,"48.24163375518013,6.794215930542169","48.24163375518013","6.794215930542169"
"88065","BONVILLET","88260","BONVILLET",,"48.1004461589292,6.064352874715718","48.1004461589292","6.064352874715718"
"88066","BOULAINCOURT","88500","BOULAINCOURT",,"48.37374703485024,6.084045836755985","48.37374703485024","6.084045836755985"
"88068","LA BOURGONCE","88470","LA BOURGONCE",,"48.30134609139704,6.812964427664062","48.30134609139704","6.812964427664062"
"88069","BOUXIERES AUX BOIS","88270","BOUXIERES AUX BOIS",,"48.256240897512534,6.322510173572484","48.256240897512534","6.322510173572484"
"88070","BOUXURULLES","88130","BOUXURULLES",,"48.33218372125205,6.230372234668815","48.33218372125205","6.230372234668815"
"88071","BOUZEMONT","88270","BOUZEMONT",,"48.249833612345796,6.2392261751476905","48.249833612345796","6.2392261751476905"
"88073","BRANTIGNY","88130","BRANTIGNY",,"48.3489532288346,6.276905680459853","48.3489532288346","6.276905680459853"
"88074","BRECHAINVILLE","88350","BRECHAINVILLE",,"48.36180418228176,5.502255034306801","48.36180418228176","5.502255034306801"
"88075","LA BRESSE","88250","LA BRESSE",,"48.02107502302397,6.9201910046512225","48.02107502302397","6.9201910046512225"
"88076","BROUVELIEURES","88600","BROUVELIEURES",,"48.24116353529528,6.73362498931535","48.24116353529528","6.73362498931535"
"88077","BRU","88700","BRU",,"48.35536836721637,6.685365635296311","48.35536836721637","6.685365635296311"
"88078","BRUYERES","88600","BRUYERES",,"48.21545090917442,6.7138978335312975","48.21545090917442","6.7138978335312975"
"88079","BULGNEVILLE","88140","BULGNEVILLE",,"48.21200024877868,5.84117292392207","48.21200024877868","5.84117292392207"
"88080","BULT","88700","BULT",,"48.29815646715172,6.593807648597115","48.29815646715172","6.593807648597115"
"88081","BUSSANG","88540","BUSSANG",,"47.892241465064245,6.875027990264453","47.892241465064245","6.875027990264453"
"88082","CELLES SUR PLAINE","88110","CELLES SUR PLAINE",,"48.451314925941894,6.965577302400268","48.451314925941894","6.965577302400268"
"88083","CERTILLEUX","88300","CERTILLEUX",,"48.319839971188216,5.733036530901433","48.319839971188216","5.733036530901433"
"88084","CHAMAGNE","88130","CHAMAGNE",,"48.41165236941107,6.307366181305181","48.41165236941107","6.307366181305181"
"88085","CHAMPDRAY","88640","CHAMPDRAY",,"48.125723996071216,6.757676100097218","48.125723996071216","6.757676100097218"
"88086","CHAMP LE DUC","88600","CHAMP LE DUC",,"48.19238400846676,6.727350648997416","48.19238400846676","6.727350648997416"
"88087","CHANTRAINE","88000","CHANTRAINE",,"48.16698775048404,6.42438706991652","48.16698775048404","6.42438706991652"
"88088","LA CHAPELLE AUX BOIS","88240","LA CHAPELLE AUX BOIS",,"48.03000117819581,6.323126588591875","48.03000117819581","6.323126588591875"
"88088","LA CHAPELLE AUX BOIS","88240","LA CHAPELLE AUX BOIS","GREMIFONTAINE","48.03000117819581,6.323126588591875","48.03000117819581","6.323126588591875"
"88089","LA CHAPELLE DEVANT BRUYERES","88600","LA CHAPELLE DEVANT BRUYERES",,"48.17782333871507,6.803664431796256","48.17782333871507","6.803664431796256"
"88090","CHARMES","88130","CHARMES",,"48.38295709469247,6.322511001347313","48.38295709469247","6.322511001347313"
"88091","CHARMOIS DEVANT BRUYERES","88460","CHARMOIS DEVANT BRUYERES",,"48.171171440467916,6.589819964230148","48.171171440467916","6.589819964230148"
"88092","CHARMOIS L ORGUEILLEUX","88270","CHARMOIS L ORGUEILLEUX",,"48.0904255430549,6.261800257910494","48.0904255430549","6.261800257910494"
"88093","CHATAS","88210","CHATAS",,"48.36666503647719,7.038312754106544","48.36666503647719","7.038312754106544"
"88094","CHATEL SUR MOSELLE","88330","CHATEL SUR MOSELLE",,"48.316429079905696,6.398980366555689","48.316429079905696","6.398980366555689"
"88095","CHATENOIS","88170","CHATENOIS",,"48.311927430800814,5.825108536811944","48.311927430800814","5.825108536811944"
"88095","CHATENOIS","88170","CHATENOIS","VALAINCOURT","48.311927430800814,5.825108536811944","48.311927430800814","5.825108536811944"
"88096","CHATILLON SUR SAONE","88410","CHATILLON SUR SAONE",,"47.946167886716395,5.878450571672085","47.946167886716395","5.878450571672085"
"88097","CHAUFFECOURT","88500","CHAUFFECOURT",,"48.3335388307708,6.155684164394384","48.3335388307708","6.155684164394384"
"88098","CHAUMOUSEY","88390","CHAUMOUSEY",,"48.17200539747934,6.325076064319208","48.17200539747934","6.325076064319208"
"88099","CHAVELOT","88150","CHAVELOT",,"48.22901765687212,6.428112976938717","48.22901765687212","6.428112976938717"
"88100","CHEF HAUT","88500","CHEF HAUT",,"48.35403833599248,6.009272576967945","48.35403833599248","6.009272576967945"
"88101","CHENIMENIL","88460","CHENIMENIL",,"48.13671429329547,6.595900596888027","48.13671429329547","6.595900596888027"
"88102","CHERMISEY","88630","CHERMISEY",,"48.412526638352205,5.571710731540927","48.412526638352205","5.571710731540927"
"88103","CIRCOURT","88270","CIRCOURT",,"48.24910068928099,6.283279299935366","48.24910068928099","6.283279299935366"
"88104","CIRCOURT SUR MOUZON","88300","CIRCOURT SUR MOUZON",,"48.30330725660146,5.6996728826491045","48.30330725660146","5.6996728826491045"
"88105","CLAUDON","88410","CLAUDON",,"48.03324402545111,6.045359048780865","48.03324402545111","6.045359048780865"
"88106","BAN SUR MEURTHE CLEFCY","88230","BAN SUR MEURTHE CLEFCY",,"48.12849842755301,6.970186958698854","48.12849842755301","6.970186958698854"
"88106","BAN SUR MEURTHE CLEFCY","88230","BAN SUR MEURTHE CLEFCY","BAN SUR MEURTHE","48.12849842755301,6.970186958698854","48.12849842755301","6.970186958698854"
"88107","CLEREY LA COTE","88630","CLEREY LA COTE",,"48.485171662387245,5.762386365638212","48.485171662387245","5.762386365638212"
"88108","LE CLERJUS","88240","LE CLERJUS",,"47.97896712187454,6.330554324095083","47.97896712187454","6.330554324095083"
"88109","CLEURIE","88120","CLEURIE",,"48.05515263158849,6.673978064281166","48.05515263158849","6.673978064281166"
"88110","CLEZENTAINE","88700","CLEZENTAINE",,"48.40629803513707,6.524177967609022","48.40629803513707","6.524177967609022"
"88111","COINCHES","88100","COINCHES",,"48.24234361431942,7.023028128485013","48.24234361431942","7.023028128485013"
"88113","COMBRIMONT","88490","COMBRIMONT",,"48.27419301764737,7.075174358685935","48.27419301764737","7.075174358685935"
"88114","CONTREXEVILLE","88140","CONTREXEVILLE",,"48.18598170870942,5.8905574359370645","48.18598170870942","5.8905574359370645"
"88115","CORCIEUX","88430","CORCIEUX",,"48.16501091971726,6.878986988633398","48.16501091971726","6.878986988633398"
"88116","CORNIMONT","88310","CORNIMONT",,"47.96127256287272,6.876760962512183","47.96127256287272","6.876760962512183"
"88117","COURCELLES SOUS CHATENOIS","88170","COURCELLES SOUS CHATENOIS",,"48.32689894267461,5.814729377989032","48.32689894267461","5.814729377989032"
"88118","COUSSEY","88630","COUSSEY",,"48.41360290180629,5.667115782381641","48.41360290180629","5.667115782381641"
"88119","CRAINVILLIERS","88140","CRAINVILLIERS",,"48.14966615116228,5.838230140378052","48.14966615116228","5.838230140378052"
