id,swift,banque,bic,agence,domiciliation
60,PSSTFRPPNCY,La Banque Postale,20041,Centre Financier de Nancy,53 rue des Jardiniers 54900 Nancy
61,PSSTFRPPNTE,La Banque Postale,20041,Centre Financier de Nantes,4 rue du président Herriot 44900 Nantes
62,PSSTFRPPPAR,La Banque Postale,20041,Centre Financier de Paris,11 rue Bourseul 75900 Paris
63,PSSTFRPPREN,La Banque Postale,20041,Centre Financier de Rennes,9 rue Vanneau 35900 Rennes
64,PSSTFRPPROU,La Banque Postale,20041,Centre Financier de Rouen,1 rue Albert Glatigny 76900 Rouen
65,PSSTFRPPSCE,La Banque Postale,20041,Centre Financier Orléans-la-Source,1 rue Édouard Branly 45900 La Source
66,PSSTFRPPSTR,La Banque Postale,20041,Centre Financier de Strasbourg,5 rue des Clarisses 67900 Strasbourg
67,PSSTFRPPTOU,La Banque Postale,20041,Centre Financier de Toulouse,7 rue Palaprat 31900 Toulouse
68,PSSTFRPPBTE,La Banque Postale,20041,Centre Financier de Basse-Terre,Jarry
69,PSSTFRPPFDF,La Banque Postale,20041,Centre Financier de Fort-de-France,Fort-de-France
70,PSSTFRPPSDR,La Banque Postale,20041,Centre Financier de Saint-Denis,Saint-Denis
71,PSSTFRPPCAY,La Banque Postale,20041,Centre Financier de Cayenne,11 rue des lucioles Cayenne
72,SOGEFRPP,Société Générale,30003,Société Générale,17 cours Valmy 92972 Puteaux
