"N°Stock Mouvement","Date Mouvement","Nature Mouvement","Quantité Mouvement"
746,2015-04-02,1,60.00
747,2015-04-09,1,60.00
748,2015-04-09,1,16.00
749,2015-04-09,1,66.00
750,2015-04-02,1,18.00
751,2015-04-09,1,20.00
752,2015-04-02,1,88.00
753,2015-04-09,1,24.00
754,2015-03-31,1,1000.00
755,2015-02-20,1,50000.00
756,2015-02-20,1,150000.00
757,2015-04-02,1,100.00
758,2015-02-20,1,100.00
759,2015-04-16,1,24.00
760,2015-04-16,1,48.00
761,2015-04-16,1,74.00
762,2015-04-16,1,16.00
763,2015-04-16,1,36.00
764,2015-04-16,1,42.00
765,2015-04-16,1,16.00
766,2015-04-16,1,50.00
767,2015-04-16,1,20.00
768,2015-04-16,1,91.00
769,2015-04-16,1,39.00
770,2015-04-16,1,28.00
771,2015-04-16,1,26.00
772,2015-04-16,1,24.00
773,2015-04-16,1,48.00
774,2015-04-16,1,42.00
775,2015-04-16,1,54.00
776,2015-04-16,1,72.00
777,2015-04-23,1,24.00
778,2015-04-23,1,48.00
779,2015-04-23,1,111.00
780,2015-04-23,1,16.00
781,2015-04-23,1,60.00
782,2015-04-23,1,26.00
783,2015-04-23,1,36.00
784,2015-04-23,1,130.00
785,2015-04-23,1,50.00
786,2015-04-23,1,26.00
787,2015-04-23,1,117.00
788,2015-04-23,1,26.00
789,2015-04-23,1,26.00
790,2015-04-28,1,13.00
791,2015-04-23,1,24.00
792,2015-04-23,1,48.00
793,2015-04-23,1,36.00
794,2015-04-23,1,18.00
795,2015-04-23,1,26.00
812,2015-04-30,1,42.00
813,2015-02-20,1,460000.00
814,2015-04-30,1,18.00
815,2015-04-30,1,24.00
816,2015-04-30,1,117.00
817,2015-04-30,1,26.00
818,2015-04-30,1,45.00
796,2015-04-30,1,36.00
797,2015-04-30,1,66.00
798,2015-04-30,1,92.50
799,2015-04-30,1,54.00
800,2015-04-30,1,8.00
801,2015-04-30,1,27.00
802,2015-04-30,1,42.00
803,2015-04-30,1,99.00
804,2015-04-30,1,30.00
805,2015-04-30,1,20.00
806,2015-04-30,1,26.00
807,2015-04-30,1,39.00
808,2015-04-30,1,26.00
809,2015-04-30,1,26.00
810,2015-04-30,1,36.00
811,2015-04-30,1,66.00
836,2015-05-07,1,30.00
837,2015-05-07,1,30.00
287,2014-12-29,2,230.00
288,2014-12-29,2,150.00
289,2014-12-29,2,260.00
290,2014-12-29,2,1200.00
291,2014-12-29,2,50.00
292,2014-12-29,2,299.00
293,2014-12-29,2,4000.00
301,2014-12-29,2,900000.00
308,2014-12-29,2,180000.00
349,2014-12-29,2,2000.00
190,2014-12-29,1,7.50
221,2014-12-29,2,800.00
225,2014-12-29,2,80000.00
180,2014-12-29,1,50.00
239,2014-12-29,1,30.00
254,2014-12-29,1,700.00
259,2014-12-29,2,6.80
260,2014-12-29,1,20000.00
261,2014-12-29,1,5000.00
273,2014-12-29,1,15000.00
300,2014-12-29,1,2500.00
354,2014-12-16,1,108.00
356,2014-12-16,1,92.50
358,2014-12-16,1,36.00
359,2014-12-16,1,60.00
363,2014-12-16,1,28.00
367,2014-12-16,1,32.00
370,2014-12-16,1,26.00
352,2014-12-16,1,15.00
376,2014-12-16,1,10.00
372,2014-12-16,1,18.72
366,2014-12-16,1,10.00
365,2014-12-16,1,18.00
364,2014-12-16,1,20.00
360,2014-12-16,1,18.00
362,2014-12-16,1,4.00
361,2014-12-16,1,3.50
355,2014-12-16,1,12.00
353,2014-12-16,1,3.00
350,2014-12-16,1,6.00
377,2014-12-16,1,12.00
373,2014-12-16,1,10.00
369,2014-12-16,1,10.00
368,2014-12-16,1,9.00
378,2014-12-16,1,26.00
374,2014-12-16,1,6.00
371,2014-12-16,1,6.00
351,2014-12-16,1,5.00
375,2014-12-16,1,20.00
357,2014-12-16,1,2.50
379,2014-12-18,1,5.00
380,2014-12-18,1,1.00
381,2014-12-03,1,50.00
337,2014-12-12,2,125.00
352,2014-12-23,2,15.00
353,2014-12-18,2,3.00
382,2015-01-15,1,13.00
383,2015-01-15,1,8.00
384,2015-01-15,1,40.00
385,2015-01-15,1,24.00
386,2015-01-13,1,24.00
387,2015-01-15,1,111.00
388,2015-01-13,1,36.00
389,2015-01-13,1,60.00
390,2015-01-15,1,30.00
391,2015-01-15,1,21.00
392,2015-01-15,1,4.00
393,2015-01-15,1,18.00
394,2015-01-13,1,92.00
395,2015-01-15,1,6.00
396,2015-01-15,1,11.00
397,2015-01-15,1,10.00
398,2015-01-15,1,45.00
399,2015-01-15,1,45.00
400,2015-01-13,1,22.95
303,2014-02-01,1,150.00
304,2014-02-01,1,150.00
305,2014-02-01,1,150.00
1951,2014-12-09,2,2.62
1949,2014-12-09,2,0.50
1952,2014-12-09,2,7.00
1953,2014-12-09,2,10.20
1954,2014-12-09,2,9.95
1950,2014-12-09,2,7.20
314,2014-12-10,2,7.00
317,2014-12-10,2,5.30
315,2014-12-10,2,10.20
313,2014-12-10,2,2.62
312,2014-12-10,2,7.20
311,2014-12-10,2,0.50
316,2014-12-10,2,9.95
318,2014-12-12,2,6.00
327,2014-12-12,2,32.00
333,2014-12-12,2,4.00
332,2014-12-12,2,28.00
331,2014-12-12,2,18.00
330,2014-12-12,2,4.00
329,2014-12-12,2,40.00
328,2014-12-12,2,24.00
325,2014-12-12,2,20.00
323,2014-12-12,2,20.00
322,2014-12-12,2,60.00
321,2014-12-12,2,30.00
334,2014-12-12,2,24.00
319,2014-12-12,2,18.00
326,2014-12-12,2,39.00
320,2014-12-12,2,74.00
344,2014-12-12,2,6.00
347,2014-12-12,2,2.50
346,2014-12-12,2,6.00
335,2014-12-12,2,2.00
324,2014-12-12,2,27.00
343,2014-12-12,2,13.00
342,2014-12-12,2,9.00
341,2014-12-12,2,10.00
340,2014-12-12,2,13.00
339,2014-12-12,2,13.00
338,2014-12-12,2,20.00
336,2014-12-12,2,4.00
345,2014-12-12,2,5.00
1962,2014-12-16,2,9.60
1959,2014-12-16,2,3.00
1956,2014-12-16,2,0.48
1957,2014-12-16,2,3.00
1958,2014-12-16,2,2.75
1955,2014-12-16,2,4.25
1963,2014-12-16,2,3.00
1965,2014-12-16,2,1.00
1966,2014-12-16,2,2.00
1961,2014-12-16,2,2.50
1960,2014-12-16,2,23.60
356,2014-12-17,2,92.50
364,2014-12-17,2,20.00
365,2014-12-17,2,18.00
366,2014-12-17,2,10.00
372,2014-12-17,2,18.72
306,2014-02-01,1,7.00
307,2014-02-01,1,5000.00
308,2014-09-15,1,200000.00
309,2014-09-15,1,5000.00
310,2014-09-15,1,1000.00
311,2014-12-09,1,0.50
312,2014-12-09,1,7.20
313,2014-12-09,1,2.62
314,2014-12-09,1,7.00
315,2014-12-09,1,10.20
316,2014-12-09,1,9.95
317,2014-12-09,1,5.30
318,2014-12-11,1,6.00
319,2014-12-11,1,18.00
320,2014-12-11,1,74.00
321,2014-12-11,1,30.00
322,2014-12-11,1,60.00
323,2014-12-11,1,20.00
324,2014-12-11,1,27.00
325,2014-12-11,1,20.00
326,2014-12-11,1,39.00
327,2014-12-11,1,32.00
328,2014-12-11,1,24.00
329,2014-12-11,1,40.00
330,2014-12-11,1,4.00
331,2014-12-11,1,18.00
332,2014-12-11,1,28.00
333,2014-12-11,1,4.00
334,2014-12-11,1,24.00
335,2014-12-11,1,2.00
336,2014-12-11,1,4.00
337,2014-12-11,1,125.00
338,2014-12-11,1,20.00
339,2014-12-11,1,13.00
340,2014-12-11,1,13.00
341,2014-12-11,1,10.00
342,2014-12-11,1,9.00
343,2014-12-11,1,13.00
344,2014-12-11,1,6.00
345,2014-12-11,1,5.00
346,2014-12-11,1,6.00
347,2014-12-11,1,2.50
348,2014-12-02,1,5000.00
349,2014-12-02,1,5000.00
215,2014-09-15,2,300000.00
218,2014-09-15,2,10000.00
309,2014-12-29,2,5000.00
348,2014-12-29,2,2000.00
252,2014-09-15,2,1000.00
310,2014-12-29,2,300.00
188,2014-12-29,2,50.00
189,2014-12-29,2,190.00
191,2014-12-29,2,22.00
193,2014-12-29,2,1500.00
194,2014-12-29,2,4000.00
195,2014-12-29,2,230.00
196,2014-12-29,2,1500.00
197,2014-12-29,2,300.00
198,2014-12-29,2,2800.00
199,2014-12-29,2,100000.00
200,2014-12-29,2,2000.00
201,2014-12-29,2,5000.00
202,2014-12-29,2,5000.00
203,2014-12-29,2,9000.00
205,2014-12-29,2,6500.00
206,2014-12-29,2,3500.00
207,2014-12-29,2,6000.00
208,2014-12-29,2,50.00
209,2014-12-29,2,5000.00
211,2014-12-29,2,50.00
212,2014-12-29,2,200.00
213,2014-12-29,2,250.00
214,2014-12-29,2,5000.00
216,2014-12-29,2,2500.00
217,2014-12-29,2,0.30
219,2014-12-29,2,220.00
220,2014-12-29,2,5000.00
