id,vegetal,action,materiel_id,stock,plan palette,memo,main oeuvre,rendement,nb graine,vegetal,semaine début,semaine fin,action,rendement,anticipation,hebdomadaire,actif,conversion,date mise à jour
242,93,34,13,,,,,,,,01,52,,0.99,1.00,1,1,1.00,
243,15,34,15,,,,,,,,01,25,1.00,0.95,1.00,1,1,1.00,
244,16,34,16,,,,,,,,35,40,,1.00,1.00,1,1,1.00,
245,75,34,15,,,,,,,,01,20,,1.00,1.00,1,1,1.00,
248,98,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
250,146,1,,23,,,,,,,01,50,,1.00,0.00,0,1,1.00,17/11/2020 14:03:25
251,147,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
252,148,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
253,149,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
254,150,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
255,151,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
256,152,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
257,153,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
258,154,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
259,155,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
261,157,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
263,159,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
264,160,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
265,161,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
267,163,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
268,164,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,16/11/2021 08:48:48
269,165,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
270,166,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
271,167,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
272,168,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
274,171,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,2/12/2021 13:35:32
275,172,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
276,173,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
277,174,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
278,175,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
279,176,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
281,178,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
282,179,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
283,180,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
284,181,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
285,182,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
286,183,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
287,184,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
288,185,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
289,187,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
291,189,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
292,190,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
293,191,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
295,193,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
296,194,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
297,195,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
299,197,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,25/11/2021 11:14:36
300,198,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
301,201,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
302,202,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
303,204,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,13/10/2020 14:37:17
304,205,1,,23,,,,,,,01,01,,1.00,1.00,0,1,1.00,
305,206,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
307,209,1,,23,,,,,,,01,01,,1.00,0.00,0,1,1.00,
