"N°Stock","Code Végétal Stock","Code Matériel Stock","Code Fournisseur Stock","Date entrée stock","Qtte Stock","Unité Stock","Unité par contenant Stock","N°Contenant Stock","Qtte contenant Stock","Tarif  Unitaire HT Achat Stock","Tarif  Unitaire TTC Achat Stock","N°Commande/Achat Stock","N° Lot Stock","DLUT Stock","Zone Stockage Stock","N°Stock Calculé","Caractéristique Stock"
41,68,,70,2014-10-13,224.00,"pièce(s)",50.00,2,30.00,,,,"13/10/2014",2014-10-23,,"2014-68-13/10/2014"
42,86,,70,2014-10-13,199.00,"kg",6.00,3,80.00,,,,"13/10/2014",2014-10-28,,"2014-86-13/10/2014"
43,87,,70,2014-10-13,112.00,"kg",7.00,3,80.00,,,,"13/10/2014",2014-10-28,,"2014-87-13/10/2014"
44,4,,70,2014-10-20,364.00,"pièce(s)",6.00,1,35.00,,,,"20/10/2014",2014-10-24,,"2014-4-20/10/2014"
45,4,,70,2014-10-20,364.00,"pièce(s)",6.00,1,35.00,,,,"20/10/2014",2014-10-24,,"2014-4-20/10/2014"
46,89,,70,2014-10-20,109.20,"kg",18.00,7,1.00,,,,"20/10/2014",2015-1-18,,"2014-89-20/10/2014"
47,89,,70,2014-10-20,109.20,"kg",18.00,7,1.00,,,,"20/10/2014",2015-1-18,,"2014-89-20/10/2014"
48,4,,70,2014-10-27,756.00,"pièce(s)",6.00,1,35.00,,,,"27/10/2014",2014-10-31,,"2014-4-27/10/2014"
49,4,,70,2014-10-27,756.00,"pièce(s)",6.00,1,35.00,,,,"27/10/2014",2014-10-31,,"2014-4-27/10/2014"
50,4,,70,2014-10-27,756.00,"pièce(s)",6.00,1,35.00,,,,"27/10/2014",2014-10-31,,"2014-4-27/10/2014"
51,4,,70,2014-10-27,756.00,"pièce(s)",6.00,1,35.00,,,,"27/10/2014",2014-10-31,,"2014-4-27/10/2014"
52,13,,70,2014-10-27,756.00,"pièce(s)",15.00,7,1.00,,,,"27/10/2014",2015-6-24,,"2014-13-27/10/2014"
53,26,,70,2014-10-27,756.00,"pièce(s)",15.00,1,35.00,,,,"27/10/2014",2014-11-26,,"2014-26-27/10/2014"
54,26,,70,2014-10-27,756.00,"pièce(s)",15.00,1,35.00,,,,"27/10/2014",2014-11-26,,"2014-26-27/10/2014"
55,40,,70,2014-10-27,124.00,"kg",2.00,2,30.00,,,,"27/10/2014",2014-10-30,,"2014-40-27/10/2014"
56,40,,70,2014-10-27,124.00,"kg",2.00,2,30.00,,,,"27/10/2014",2014-10-30,,"2014-40-27/10/2014"
57,40,,70,2014-10-27,124.00,"kg",2.00,2,30.00,,,,"27/10/2014",2014-10-30,,"2014-40-27/10/2014"
58,4,,70,2014-11-3,907.00,"pièce(s)",6.00,1,35.00,,,,"03/11/2014",2014-11-7,,"2014-4-03/11/2014"
59,4,,70,2014-11-3,907.00,"pièce(s)",6.00,1,35.00,,,,"03/11/2014",2014-11-7,,"2014-4-03/11/2014"
60,4,,70,2014-11-3,907.00,"pièce(s)",6.00,1,35.00,,,,"03/11/2014",2014-11-7,,"2014-4-03/11/2014"
61,4,,70,2014-11-3,907.00,"pièce(s)",6.00,1,35.00,,,,"03/11/2014",2014-11-7,,"2014-4-03/11/2014"
62,4,,70,2014-11-3,907.00,"pièce(s)",6.00,1,35.00,,,,"03/11/2014",2014-11-7,,"2014-4-03/11/2014"
63,40,,70,2014-11-3,23.00,"kg",2.00,2,30.00,,,,"03/11/2014",2014-11-6,,"2014-40-03/11/2014"
64,54,,70,2014-11-3,131.00,"kg",18.00,7,1.00,,,,"03/11/2014",2015-2-1,,"2014-54-03/11/2014"
65,76,,70,2014-11-3,158.70,"kg",18.00,7,1.00,,,,"03/11/2014",2015-2-1,,"2014-76-03/11/2014"
66,4,,70,2014-11-10,762.00,"pièce(s)",6.00,1,35.00,,,,"10/11/2014",2014-11-14,,"2014-4-10/11/2014"
67,4,,70,2014-11-10,762.00,"pièce(s)",6.00,1,35.00,,,,"10/11/2014",2014-11-14,,"2014-4-10/11/2014"
68,4,,70,2014-11-10,762.00,"pièce(s)",6.00,1,35.00,,,,"10/11/2014",2014-11-14,,"2014-4-10/11/2014"
69,4,,70,2014-11-10,762.00,"pièce(s)",6.00,1,35.00,,,,"10/11/2014",2014-11-14,,"2014-4-10/11/2014"
70,40,,70,2014-11-10,62.60,"kg",2.00,2,30.00,,,,"10/11/2014",2014-11-13,,"2014-40-10/11/2014"
71,40,,70,2014-11-10,62.60,"kg",2.00,2,30.00,,,,"10/11/2014",2014-11-13,,"2014-40-10/11/2014"
72,4,,70,2014-11-17,846.00,"pièce(s)",6.00,1,35.00,,,,"17/11/2014",2014-11-21,,"2014-4-17/11/2014"
73,4,,70,2014-11-17,846.00,"pièce(s)",6.00,1,35.00,,,,"17/11/2014",2014-11-21,,"2014-4-17/11/2014"
74,4,,70,2014-11-17,846.00,"pièce(s)",6.00,1,35.00,,,,"17/11/2014",2014-11-21,,"2014-4-17/11/2014"
75,4,,70,2014-11-17,846.00,"pièce(s)",6.00,1,35.00,,,,"17/11/2014",2014-11-21,,"2014-4-17/11/2014"
76,4,,70,2014-11-17,846.00,"pièce(s)",6.00,1,35.00,,,,"17/11/2014",2014-11-21,,"2014-4-17/11/2014"
77,4,,70,2014-11-24,872.00,"pièce(s)",6.00,1,35.00,,,,"24/11/2014",2014-11-28,,"2014-4-24/11/2014"
78,4,,70,2014-11-24,872.00,"pièce(s)",6.00,1,35.00,,,,"24/11/2014",2014-11-28,,"2014-4-24/11/2014"
79,4,,70,2014-11-24,872.00,"pièce(s)",6.00,1,35.00,,,,"24/11/2014",2014-11-28,,"2014-4-24/11/2014"
80,4,,70,2014-11-24,872.00,"pièce(s)",6.00,1,35.00,,,,"24/11/2014",2014-11-28,,"2014-4-24/11/2014"
81,4,,70,2014-11-24,872.00,"pièce(s)",6.00,1,35.00,,,,"24/11/2014",2014-11-28,,"2014-4-24/11/2014"
82,2,,70,2014-9-15,741.00,"pièce(s)",10.00,2,30.00,,,,"15/09/2014",2014-9-22,,"2014-2-15/09/2014"
83,2,,70,2014-9-15,741.00,"pièce(s)",10.00,2,30.00,,,,"15/09/2014",2014-9-22,,"2014-2-15/09/2014"
84,2,,70,2014-9-15,741.00,"pièce(s)",10.00,2,30.00,,,,"15/09/2014",2014-9-22,,"2014-2-15/09/2014"
85,49,,70,2014-9-15,448.00,"pièce(s)",30.00,3,80.00,,,,"15/09/2014",2014-9-22,1,"2014-49-15/09/2014"
86,68,,70,2014-9-15,1415.00,"pièce(s)",50.00,9,1.00,,,,"15/09/2014",2014-9-25,29,"2014-68-15/09/2014"
87,86,,70,2014-9-15,675.80,"kg",6.00,10,1.00,,,,"15/09/2014",2014-9-30,29,"2014-86-15/09/2014"
88,87,,70,2014-9-15,503.00,"kg",7.00,10,1.00,,,,"15/09/2014",2014-9-30,29,"2014-87-15/09/2014"
89,2,,70,2014-9-22,105.00,"pièce(s)",10.00,2,30.00,,,,"22/09/2014",2014-9-29,,"2014-2-22/09/2014"
90,49,,70,2014-9-22,727.00,"pièce(s)",30.00,3,80.00,,,,"22/09/2014",2014-9-29,1,"2014-49-22/09/2014"
91,68,,70,2014-9-22,792.00,"pièce(s)",50.00,9,1.00,,,,"22/09/2014",2014-10-2,29,"2014-68-22/09/2014"
92,86,,70,2014-9-22,207.60,"kg",6.00,10,1.00,,,,"22/09/2014",2014-10-7,29,"2014-86-22/09/2014"
93,87,,70,2014-9-22,332.00,"kg",7.00,10,1.00,,,,"22/09/2014",2014-10-7,29,"2014-87-22/09/2014"
94,8,,70,2014-9-29,647.00,"kg",18.00,7,1.00,,,,"29/09/2014",2015-3-28,1,"2014-8-29/09/2014"
95,40,,70,2014-9-29,118.00,"kg",2.00,2,30.00,,,,"29/09/2014",2014-10-2,,"2014-40-29/09/2014"
96,40,,70,2014-9-29,118.00,"kg",2.00,2,30.00,,,,"29/09/2014",2014-10-2,,"2014-40-29/09/2014"
97,86,,70,2014-9-29,47.20,"kg",6.00,3,80.00,,,,"29/09/2014",2014-10-14,29,"2014-86-29/09/2014"
98,8,,70,2014-10-6,281.50,"kg",18.00,7,1.00,,,,"06/10/2014",2015-4-4,1,"2014-8-06/10/2014"
99,68,,70,2014-10-6,450.00,"pièce(s)",50.00,2,30.00,,,,"06/10/2014",2014-10-16,29,"2014-68-06/10/2014"
100,86,,70,2014-10-6,170.00,"kg",6.00,3,80.00,,,,"06/10/2014",2014-10-21,29,"2014-86-06/10/2014"
101,87,,70,2014-10-6,110.00,"kg",7.00,3,80.00,,,,"06/10/2014",2014-10-21,29,"2014-87-06/10/2014"
102,8,,70,2014-10-13,521.00,"kg",18.00,7,1.00,,,,"13/10/2014",2015-4-11,1,"2014-8-13/10/2014"
103,68,,70,2014-10-13,224.00,"pièce(s)",50.00,2,30.00,,,,"13/10/2014",2014-10-23,29,"2014-68-13/10/2014"
104,86,,70,2014-10-13,199.00,"kg",6.00,3,80.00,,,,"13/10/2014",2014-10-28,29,"2014-86-13/10/2014"
105,87,,70,2014-10-13,112.00,"kg",7.00,3,80.00,,,,"13/10/2014",2014-10-28,29,"2014-87-13/10/2014"
106,8,,70,2014-10-20,206.50,"kg",18.00,7,1.00,,,,"20/10/2014",2015-4-18,1,"2014-8-20/10/2014"
107,8,,70,2014-10-27,472.10,"kg",18.00,7,1.00,,,,"27/10/2014",2015-4-25,1,"2014-8-27/10/2014"
108,13,,70,2014-10-27,756.00,"pièce(s)",15.00,7,1.00,,,,"27/10/2014",2015-6-24,,"2014-13-27/10/2014"
