code,article,famille_code,factpoids,unitevente,prix,suivistock
FIGESS,Figue natural Turquie vrac,03FS,t,3,15.5,2
FIGLOAF,Figue longue d'aout France,03FIGUE,t,3,13.05,2
FIGUE,Figue noire France,03FIGUE,t,3,13.4,2
FIGUEBAR,Figue de Barbarie Italie kg,03EXOTIQ,t,3,5.3,2
FIGUES,Figue blanche France,03FIGUE,t,3,12.45,2
FILETANCHOISHUILE,Filet d'Anchois à l'huile d'olive 40g,04POIS,f,1,8.45,0
FILETTHON140,Filet de Thon Germon à l'huile d'olive 140g,04POIS,f,1,5.35,0
FILETTHON380,Filet de Thon Germon à l'huile d'olive 380g,04POIS,f,1,9.75,0
FLAGEOLVRAC,Flageolet vrac FR,04CEREALE,t,3,8.6,2
FLAGEOVERT,Flageolets Vert au naturel 280g,04HAR,f,1,3.95,0
FLAGSEC,Flageolets secs 500g,04HAR,f,1,5.1,2
FLEURCHOU,Fleurettes Chou fleur,02CHOU,t,3,4.5,0
FLEURCO,Fleur de courgette,02COUR,f,1,2,0
FLEURCOUR,Courgette Mini Fleur,02COUR,f,2,0.3,0
FLEURSEL,Fleur de sel sachet 500g,04SEL,f,2,10.6,2
FRAIEGA,Fraise Jardins 500 gr non Bio *,03FRAISE,f,1,4.9,2
FRAIJA,Fraise Jardins bq  non Bio *,03FRAISE,t,3,10,0
FRAISE,Fraise Alsace 250g,03FRAISE,f,2,4.1,2
FRAISEGUARIG250G,Fraise pour confiture non Bio,03FRAISE,t,3,5,2
FRAISEJARDIN,Fraise Jardins Kg - non Bio *,03FRAISE,t,3,12,0
FRAISEPL/1,Fraisier  non AB * plant à l'unité,05FRAISIER,f,2,1.5,0
FRAISEPLANT,Fraisier non AB * - plant par 10,05FRAISIER,f,2,11,0
FRAM,Framboise Alsace barquette 250g,03BAIES,f,2,5.1,0
FRDUDEC,Fruit Déclassé,03,t,3,1,0
FRENETTE33,Frênette 33cl,04BOISSONS,f,2,2.6,2
FRENETTE75,Frênette 75cl,04BOISSONS,f,2,4.9,2
FRISCA,Frisée/Scarole,02SALA,f,2,2.1,0
FRISEE,Salade Frisée/Scarole,02SALA,f,2,1.5,0
FROMBERTSCHWI,Fromage le Bertschwiller 250g,04FROMAGE,f,2,6.85,2
FROMBLANBAT,Fromage blanc battu 1/2écrémé 500g,04FROMAGE,f,1,2.65,2
FROMBLANCFAIS,Faisselle From Blanc1/2écrémé 500g,04FROMAGE,f,1,2.75,2
FROMCHEVR,Chèvre frais Bergenbach,04FROMAGE,f,2,2.95,2
FROMLEGOURN,Fromage le gournay 160g,04FROMAGE,f,2,4.95,2
FRUIDRAGON,Fruits du dragon Eq,03CHERI,f,1,5.6,0
FRUITDRAGON,Fruit du dragon 100g,12ARTISMON,f,2,4.9,0
FRUPAS,Fruit Passion,03CHERI,t,3,19.95,2
GALETTE,Galette,04PA,f,2,9.5,2
GALFR,Galette Frangipane,04PA,f,2,12,2
GALPOM,Galette Pomme,04PA,f,2,11,2
GARAM,Garam Masala 30g,12ARTISMON,f,2,2.7,0
GENIEVREARCADIE,Genièvre Baies Arcadie 70 gr,04MOUT,f,1,2.5,0
GERMEALFAALFA,Germline Alfalfa 150gr,04GERME,f,2,4.4,2
GERMECRESSON,Germline Cresson 150gr,04GERME,f,2,6.8,2
GERMERADFENOUIL,Germline Radis Fenouil150gr,04GERME,f,2,6.8,2
GERMETREFLERAD,Germline Trèfle Radis 150gr,04GERME,f,2,6.8,2
GINGEM,Gingembre Pérou kg,02EPIC,t,3,9.4,0
GINGERMOULU,Gingembre Moulu 30 gr,12ARTISMON,f,2,2.5,0
GODART,Motte Artichaut,05FEUILLE,f,2,0.92,0
GRAI,Graines jachère fleurie,05SEME,f,2,2,0
GRAICOU,Graine courge Bel air 250 g,03FS,f,1,4.55,2
GRAINCOURGES,Graines de courge Vrac,03FS,t,3,16.1,2
GRAINE_COURGE,Graines de courge caramel 135 g,04CONFISER,f,1,5.9,2
GRAINE_LIN,Graine lin Bel Air 250 gr,03FS,f,1,3.6,2
GRENAD,Grenade Espagne,03,t,3,3.5,2
GROS,Groseille Non Bio barq.250g,03BAIES,f,2,2,0
GROS_SEL_VRAC,GROS SEL VRAC,02EPIC,f,2,2.3,0
GROSEILLE,Groseille Non Bio,03BAIES,t,3,7.8,0
GUIMAUV,Guimauve officinale Bio Plant,05AROM,f,2,2.3,0
HABEUR,Haricot beurre,02HARI,t,3,7.5,0
HACOCO,Haricot coco,02HARI,t,3,4,0
HARCUIS,Haricots blancs 520g cuisinés,04HAR,f,1,5.5,2
HARCUIS28,Haricots blancs 280g cuisinés,04HAR,f,1,3.95,2
HARI,Haricot vert Bio Plant,05HARI,f,2,4.5,0
HARIBLA,Haricots blancs secs 500g,04HAR,f,1,4.95,2
HARICO,Haricot vert Plant sachet 200g,05HARI,f,2,5,0
HARICOBLANVRAC,Haricots blancs vrac,04CEREALE,t,3,7.7,0
HARINOIR,Haricots noirs secs 500g,04HAR,f,1,4.95,2
HARIROU,Haricots rouges secs 500g,04HAR,f,2,4.95,2
HARISSA,Harissa Deméter,04MOUT,f,2,2.8,2
HARPLA,Haricot plat,02HARI,t,3,4.9,0
HARROUVRAC,Haricots rouges vrac,04CEREALE,t,3,9.9,0
HAVERT,Haricot vert Jardins,02HARI,t,3,6.9,0
HERBECURRY,Herbe à Curry Plant,05AROM,f,2,2.3,0
HERBEPROVARCADIE,Herbe de provence Arcadie Vrac,04MOUT,t,3,29,0
HERBEPROVEARCADIE,Herbes provence Arcadie 30 g,04MOUT,f,1,1.7,0
HOUMOUS,Houmous,04TAPEN,f,1,4.1,2
HUCAME,Huile Cameline 250ml,04HU,f,2,7.7,2
HUCOLZ,Huile colza au citron 75 cl,04HU,f,2,8.2,2
HUI3L,Huile de tournesol 3L,04HU,f,2,13.2,2
HUIEPI,Huile olive Epikourous 1L,04HU,f,2,12.9,2
HUIKALA,Huile Kalamata 1 litre,04HU,f,2,13.1,2
HUIKALGREC,Huile d'olive grecque kalamata 1L,04HU,f,2,13.1,2
HUILCHAN,Huile chanvre 250ml,04HU,f,2,7.7,2
HUILCOUR,Huile de courge 250ml,04HU,f,2,11,2
HUILECALABRE,Huile d'olive Calabre 1 L,04HU,f,2,14.15,2
HUILECOCO,Huile coco vierge 200ml,12ARTISMON,f,2,4.6,0
HUILECOLZA,Huile Colza 75cl,04HU,f,2,6.95,2
HUILECOLZAPO,Huile Colza 5L,04HU,f,2,26.15,2
HUILEGR,Huile Colza grillé 500 ML,04HU,f,2,6.3,2
HUILEOLIVE1LITRE,Huile Olive 1 litre Tunisie,04HU,f,2,7.6,2
HUILNOIS,Huile noisette 250ml,04HU,f,2,12.65,2
HUILNOIX,Huile de noix 50cl,04HU,f,2,16.55,2
HUIOLIVE75,Huile d'Olive 75cl,04HU,f,2,13.1,2
HUIOLIVFRUI,Huile d'olive Epikouros 75cl,04HU,f,2,10.2,2
HUITOUR,Huile de tournesol 75cl,04HU,f,2,5.8,2
HUOILIVE,Huile olive Epikouros 5L,04HU,f,2,53.05,2
HUTOUR,Huile de tournesol 1L Chassagne,04HU,f,2,5.95,2
HYDROMEL,Hydromel,12RELIONRO,f,2,12.2,0
HYSOP,Hysope Bio Plant,05AROM,f,2,2.3,0
ICEBERG,Salade Iceberg,02SALA,f,2,1.2,0
JUPOM1,Jus de pommes 1 L non AB *,04JF,f,2,2.3,2
JUPOM2,Jus de Pommes 6L non AB*,04JF,f,2,2.1,2
JUSCHOU,Jus de choucroute 0.75 cl,04JF,f,1,2.9,0
JUSFRUIT,Jus de poire 1l,04JF,f,2,4.4,0
JUSORAGBIB,Jus d'orange bib 3L,04JF,f,1,12.9,2
JUSORANGE,Jus d'orange coteaux 75cl,04JF,f,1,4.35,2
JUSRAISINRG,Jus de raisin rouge frugibio 1L,04JF,f,1,3.7,2
JUTOM,Jus de tomate 25cl,15TRANSLEG,f,1,2.2,0
JUTOM7,Jus de tomate 75cl,15TRANSLEG,f,1,3.95,0
KAKI,Kaki Espagne,03EXOTIQ,t,3,4,2
KIWI,Kiwi Italie Vrac kg,03KIWI,t,3,4,2
KIWIITA,Kiwi rouge Italie Piece,03KIWI,f,2,1.05,2
KIWIPI,Kiwi vrac Italie Piece,03KIWI,f,2,0.6,2
KIWL,Kiwi Alimea France,03KIWI,t,3,5.35,2
KOMBUCHA_CARDAMOME,Kombucha Cardamome,04BOISSONS,f,1,2.35,0
KOMBUCHA_GINGEMBRE,Kombucha Gingembre,04BOISSONS,f,1,2.35,0
KOMBUCHA_MALVA,Kombucha Malva,04BOISSONS,f,1,2.35,0
KUMQUAT,Kumquat Esp kg,03AGRUMES,t,3,5.8,2
LAITBREBIS75,Lait de Brebis 75 cl,04LAIT,f,2,4,2
LAITCHEVRE75,Lait de Chèvre 75 cl,04LAIT,f,2,3.1,2
LAITCOCO,Lait coco 400ml,12ARTISMON,f,2,3.5,0
LAITCRU,Lait cru 1L,04LAIT,f,1,1.4,0
LAURIERSA,Laurier sauce Bio Plant,05AROM,f,2,2.3,0
LAVAND,Lavande grosso Bio Plant,05AROM,f,2,2.3,0
LEGPRTCUI,Légumes prêts à cuisiner,15TRANSLEG,t,3,10,0
LEGRAP,Légumes rapés sous vide,15TRANSLEG,t,3,9,0
LEGRAPB,Légumes rapés barquette 250g,15TRANSLEG,f,2,2.25,0
LENTBELUGA,lentille beluga 500 g,04LENT,f,1,3.45,2
LENTIL,Lentillons 500 g,04LENT,f,2,3.15,2
LENTILLEBELUGAKG,Lentilles Beluga Kg,04CEREALE,t,3,4.5,0
LENTILLECORAIL,Lentille Corail Vrac,04CEREALE,t,3,4.5,2
LENTILVERT,Lentilles vertes 1kg,04LENT,f,1,5.5,0
LENTILVERTE,Lentilles vertes 500 gr,04LENT,f,1,3.3,2
LENTKG,Lentilles Vrac,04LENT,t,3,4.2,0
LENTVERT5,Lentilles vertes 500g,04LENT,f,1,3,0
LEVURE,Saf-Levure Boite 125g,04MOUT,f,1,1.7,2
LIN,Lin brun kg,04CEREALE,t,3,3.8,2
LITCHI,Litchi Madagascar,03EXOTIQ,t,3,12.45,2
LIVE,Livèche Plant,05AROM,f,2,2,0
LIVR1,Livre Guide des Jardins de Cocagne,DIVERS,f,2,15,2
LIVR2,Agenda Jardins de Cocagne,DIVERS,f,2,12,0
MAC050,Accacia 500g,12RELIONRO,f,2,9.2,2
MAC100,Accacia 1kg,12RELIONRO,f,2,16.2,2
MACHE,Mâche,02SALA,t,3,13.5,0
MADEL,Madeleines Sachet 150g,04PA,f,2,4,2
MAIS,Maïs cru,02,f,2,1,0
MAISPLANT,Mais doux Bio Plant,05PLANT,f,2,2.5,0
MANDAR,Mandarine,03AGRUMES,t,3,2.7,2
MANGAMELIE,Mangue Espagne Pièce,03MANGUE,f,2,2.95,2
MANGUE,Mangue kent Pérou,03MANGUE,t,3,8.7,2
MANGUESECH,Mangue séchée 100g,12ARTISMON,f,2,3.3,0
MANICOTTI,Pâtes Manicotti au blé dur 250g,04PATES,f,1,2.15,2
MANKENT,Mangue ataulfo Equateur,03MANGUE,t,3,11.9,2
MANON,Manon,02POMM,t,3,1.5,0
MAQCITRBASIL,Maquereaux citron basilic 130g,04POIS,f,1,3.6,2
MAQUEREAU,Maquereaux au naturel 113g,04POIS,f,2,3.4,2
MAQUEREAUHO,Maquereaux huile d'olive 118g,04POIS,f,1,3.4,2
MAQUEREAUSM,Maquereaux moutarde 113g,04POIS,f,1,3.4,2
MAQVINBLANC,Maquereaux au vin blanc,04POIS,f,1,3.1,2
MARACU,Maracuja Ouganda,03CHERI,t,3,19.5,2
MARJO,Marjolaine Plant,05AROM,f,2,2.3,0
MARJOL,Marjolaine Bio Plant,05AROMCH,f,2,2.3,0
MARRON,Marron d'Ardèche,03FS,t,3,9.05,2
MARRONENTIERVAP,Marron entier Cuit Vapeur 200g,03FS,f,1,4.2,2
MARRONPRECUIT,Marron pré-cuit France,03FS,f,2,4,2
MASCARPONE,Mascarpone Italie,04FROMAGE,f,2,3.95,2
MATE,Maté Brésil 100g,12ARTISMON,f,2,3.7,0
MCR050,Crémeux 500g,12RELIONRO,f,2,6.8,2
MCR100,Crémeux 1kg,12RELIONRO,f,2,11.8,2
MELANGE,Mélange Fleurs semences,05SEME,f,1,2,0
MELCHAMPI,Mélange champignons,02CHAM,t,3,7,0
MELFRUISEC,Melange pom poir mang bana,03FS,t,3,25,2
MELGATEAU,Melange gateau 30g,12ARTISMON,f,2,2.4,0
MELISSE,Mélisse Bio Plant,05AROMCH,f,2,2.3,0
MELOGAL,Melon Galia Espagne,03MELON,t,3,2.9,2
MELON,Melon Charentais France,03MELON,t,3,3.5,2
MELONCAN,Melon Cantaloup Italie kg,03MELON,t,3,2.5,2
MELONG,Melon Canari Espagne kg,03MELON,t,3,3.3,2
MELONJARDIN,Melon des Jardins,03MELON,f,1,2.9,0
MELONPO,Melon Porto France,03MELON,t,3,2.9,2
MELPLT,Melon Bio Plant,05MELON,f,2,2.2,0
MELWOKEPIC,Mélange wok épicé,15TRANSLEG,t,3,14,0
MELWOKNAT,Mélange wok nature,15TRANSLEG,t,3,12,0
MEMA,Menthe marocaine Bio Plant,05AROMCH,f,2,2.3,0
MENCH,Menthe chocolat Plant,05AROMCH,f,2,2.3,0
MENMA,Plant Menthe Pomme,11MENTHE,f,2,2,0
MENSPI,Menthe spicata Plant,05AROM,f,2,2,0
MENTHE,Menthe,02AROM,f,2,1.2,0
MENTORA,Menthe orange Bio Plant,05AROMCH,f,2,2.3,0
MENTPOM,Menthe pomme Bio Plant,05AROMCH,f,2,2.3,0
MEPO,Menthe poivrée Plant,05AROMCH,f,2,2.3,0
MERI,Meringue sachet,04PA,f,2,1.2,2
MESCLU,Mesclun de chou asiatique,02SALA,t,3,13,0
MESCLUN,Mesclun,02SALA,t,3,5,0
MESJEU,Mesclun Jeunes Pousses,02SALA,t,3,13,0
MICREMFARD500,Miel Crémeux Jardins 500g,04MI,f,1,6.2,2
MICREMJARD250,Miel Crémeux Jardins 250g,04MI,f,1,3.2,2
MIE4COF,Coffret  Miel 4x250,04MI,f,1,13,2
MIECOF,Miel coffret dégustation,04MI,f,2,14.3,2
MIELJARDINS,Miel toutes fleurs Jardins 250g,04MI,f,1,3.2,2
MIELTTFJAR,Miel toutes fleurs Jardins 500g,04MI,f,1,6.2,2
MIRABE,Mirabelles pour CONFITURE Vosges,03PRUNE,t,3,2.7,2
MIRABIO,Mirabelles Alsace Lorraine  kg,03PRUNE,t,3,5.4,2
MMO050,Miel de Montagne 500g,04MI,f,2,9.2,2
MMO100,Miel de Montagne 1kg,04MI,f,2,16.2,2
MORBIER,Morbier comtois,04FROMAGE,t,3,17.9,2
MORBIERCHAUX,Morbier de la chaux,04FROMAGE,t,3,21.3,2
MOULAGCOEUR,Moulage petit coeur 50g,04CONFISER,f,2,2.95,2
MOUTAANCIENNE,Moutarde ancienne 200 ml,04MOUT,f,1,3.4,0
MOUTAFORTE,Moutarde forte 200 ml,04MOUT,f,1,3,0
MOUTARD,Moutarde nature 120 ml,04MOUT,f,2,1.2,2
MOUTARDENAT,Moutarde Nature 200 ml,04MOUT,f,1,3,0
MOZZA,Mozzarella bufflonne,04FROMAGE,f,2,3.1,2
MOZZALV,Mozzarella lait de vache,04FROMAGE,f,2,1.9,2
MOZZAR,Mozzarella Bufflonne,04FROMAGE,f,2,3.1,2
MRO050,Miel de Ronce 500g,04MI,f,2,10.2,2
MSA050,Miel Sapin 500g,04MI,f,2,11.8,2
MSA100,Miel Sapin 1kg,04MI,f,2,21.4,2
MTF050,Miel Toutes fleurs 500g,04MI,f,2,6.5,2
MTF100,Miel Toutes fleurs 1kg,04MI,f,2,10.7,2
MTI050,Miel Tilleul 500g,04MI,f,2,9.2,2
MTI100,Miel Tilleul 1kg,04MI,f,2,16.2,2
MUESLI5CEREALES,Muesli 5 céréales 500g,04CONFISER,f,2,2.95,0
MUNSTER,Munster déméter alsace petit modèle,04FROMAGE,t,3,15.2,2
MUNSTERBLAN,Munster blanc,04FROMAGE,t,3,14.9,0
MUNSTFERCUMIN,Munster fermier au cumin,04FROMAGE,t,3,16.05,2
MUNSTFERM,Munster fermier,04FROMAGE,t,3,15.5,2
MURESBLANCHES,Mûres Blanches ( Ecocert),03FS,f,2,4,2
MYRTILLE,Myrtille Bleuet des Vosges,03BAIES,t,3,15.95,2
NARCISSEBOUQUET,Narcisse Bouquet,05PF,f,2,5,0
NAV,Navet Jaune,02NARU,t,3,2.8,0
NAVET,Navet kg Jardins,02NARU,t,3,2.4,0
NAVETBOTTE,Navet botte,02NARU,f,2,1.8,0
NAVETROUGE,Navet Rouge,02NARU,t,3,3,0
NAVPLANT,Navet botte Bio Plant,05RACINE,f,2,1.3,0
NECTAB,Nectarine Blanche,03PECHE,t,3,8.65,2
NECTABJ,Nectarine,03PECHE,t,3,6.7,2
NECTAR,Nectarine Jaune/blanche France,03PECHE,t,3,8.65,2
NECTCAME7,Nectar de camerise 75cl,04JF,f,1,3.5,0
NECTMIRA,Nectar de mirabelles 75cl,04JF,f,1,3.5,0
NECTMIRA2,Nectar de mirabelles 25cl,04JF,f,1,2.56,0
NECTRHUB2,Nectar de rhubarbe 25cl,04JF,f,1,2.7,0
NECTRHUB7,Nectar de rhubarbe 75cl,04JF,f,1,3.5,2
NEFLE,Nèfle Espagne,03,t,3,7.7,2
NEM4,Nems au kg,15TRANSLEG,t,3,25,0
NEM8,Nems par 8,15TRANSLEG,f,1,10,0
NICOLA,Nicolas,02POMM,t,3,1.5,0
NOICOCO,Noix de Coco Ivoire,03FS,f,2,1.8,2
NOIPECAN,Noix de pecan,03FS,t,3,18.9,2
NOISCOQ,Noisette coque Corse,03FS,t,3,8.9,2
NOISET,Cacahuète kg,03FS,t,3,7.15,2
NOISSA,Noisettes décortiquées,03FS,t,3,19,2
NOIX,Noix d'Alsace,03FS,t,3,7.35,2
NOIXAL,Noix de Grenoble,03FS,t,3,9.15,2
NOIXCA,Noix de Cajou,03FS,t,3,20.9,2
NOIXCOCORAP,Noix coco rapée 100g,12ARTISMON,f,2,2.7,0
NOUGAT,Nougat fermier 100g,04CONFISER,f,2,5.95,2
OCADUPEROU,Oca du Pérou,02PANA,t,3,9.15,0
OEIL,Oeillet d'Inde Bio Plant,05PF,f,2,2.2,0
OEUF06,Oeufs Boîte 6,04OE,f,2,2.05,2
OEUFPE06,Oeufs (Boîte 6 petits),04OE,f,2,1.5,2
OEUFS12,Oeufs (Boîte 6 moyens),04OE,f,2,1.9,2
OEUFS6,Boîte 6 moyens,04OE,f,1,2,2
OIBLAN,Oignon blanc kg,02EPIC,t,3,3.5,0
OIBLBT,Oignon jaune botte,02EPIC,f,2,2,0
OIBOTTR,Oignon jaune Botte,02EPIC,f,2,2.3,0
OIGBL,Oignon blanc Bio Plant,05OIGN,f,2,1.5,0
OIGNONAL,Oignon rouge,02EPIC,t,3,2.5,2
OIGSIM,Oignon de simiane,02EPIC,t,3,2.8,0
OIJAUN,Oignon jaune kg,02EPIC,t,3,2.35,0
OIROUG,Oignon rouge kg,02EPIC,t,3,2.95,0
OLIVAMAND,Olive verte amande 200g,02CONDIM,f,1,3.8,0
OLIVTN,Olive verte avec noyau 200g,02CONDIM,f,1,3,2
OLNOA/N,Olive Noire 200 grs,02CONDIM,f,2,3,0
OLNYON,Olive noire sachet 250g,02CONDIM,f,2,6.3,2
OLVEAI,Olive Verte Ail 200 grs,02CONDIM,f,2,3.8,0
OLVECI,Olive Verte Citron 200 grs,02CONDIM,f,2,3.8,0
OLVEPO,Olive verte poivron 200 grs,02CONDIM,f,2,3.8,0
OLVERA/N,Olive verte dénoyautée 200 grs,02CONDIM,f,2,3,0
ORACALA,Orange Ovalie  Italie,03ORANGE,t,3,2.6,2
ORAITA,Orange  Washington Italie kg,03ORANGE,t,3,2.8,2
ORANAM,Orange amère Espagne,03ORANGE,t,3,3,2
ORANES,Orange Sicile Italie,03ORANGE,t,3,2.8,2
ORANGE,Orange Espagne,03ORANGE,t,3,2.2,2
ORANMORO,Orange sanguine moro Italie,03ORANGE,t,3,3.25,2
ORANSA,Orange Espagne,03ORANGE,t,3,2.9,2
ORANWAS,Orange Afrique Sud,03ORANGE,t,3,4.95,2
ORAOVALI,Orange Valancia Italie,03ORANGE,t,3,2,2
ORASALA,Orange à jus kg Espagne,03ORANGE,t,3,2.2,2
ORIG,Origan Plant,05AROM,f,2,2,0
ORIGA,Origan Bio Plant,05AROMCH,f,2,2.3,0
ORIGAN,Origan vulgaire Plant,05AROM,f,2,2,0
ORMALTA,Orange maltaise tarocco Italie,03ORANGE,t,3,2.8,2
ORTILLETTE33,Ortillette 33cl,04BOISSONS,f,2,2.6,2
ORTILLETTE75,Ortillette 75cl,04BOISSONS,f,2,4.9,2
OSEILLE,Oseille Bio Plant,05AROMCH,f,2,2.3,0
OSEILPOU,Oseille pourpre Bio Plant,05AROMCH,f,2,2.3,0
OSTARA,pomme ostara,02POMM,t,3,1.5,0
P4GR05,Pain  4 graines 500 g,04PA,f,2,3.1,2
PAINB,Pain blé moulé 750g,04PA,f,2,2.9,2
PAINBLE,Pain soldé,04PA,f,2,1,2
PAINBLECOMPLET500,Complet Blé 500g,04PA,f,1,3.5,0
PAINBLEDEMICOM500,Semi-complet  Blé 500g,04PA,f,2,3.3,0
PAINBLEMULTIGR500,Multi-graines 500g,04PA,f,1,4.5,0
PAINBLENOIX500,Noix 500g,04PA,f,1,4.8,0
PAINBLERAISIN500,Raisins  Pain 500g,04PA,f,1,4.5,0
PAINEP,Pain de vieilles variétés 500g,04PA,f,2,2.9,2
PAINEPEAUTRE500,Epeautre 500g,04PA,f,1,4.8,0
PAINEPICE,Pain d'épices nature fermier 350g,04PA,f,1,7.9,2
PAINEPICECHOCO,Pain d'épices chocolat orange 350g,04PA,f,1,8.4,2
PAINEPICENAT,Pain d'épice nature,12ARTISMON,f,2,5.6,0
PAINFLEURSCHATAIGN,Pain Fleurs Châtaigne Ss gluten 300g,04PA,f,1,7.35,2
PAINFLEURSMULTICER,Pain Fleurs Multicéréales Ss gluten 150g,04PA,f,1,3.15,2
PAINFLEURSSANSSEL,Pain Fleurs Ss Sel Ss Gluten 150g,04PA,f,1,3,2
PAINMI,Pain de mie 500 g,04PA,f,2,3.6,2
PAINNOIX,Pain aux noix 500g,04PA,f,1,3.1,2
PAINOI,Pain aux graines courge 500g,04PA,f,2,3.1,2
PAINPETEPEAUTRE500,Petit Epeautre 500g,04PA,f,1,6.2,0
PAINS,Salade Pain de sucre kg,02SALA,t,3,3.5,0
PAINSARRASINRIZ400,Sarrasin Riz 400g,04PA,f,1,4.6,0
PAINSEIGLE500,Seigle 500g,04PA,f,1,3.9,0
PAIRAI,Pain aux raisins 500g,04PA,f,2,3.1,2
PAMAN,Poudre d'amande vrac,03FS,t,3,18.3,2
PANAIS,Panais Jardins,02PANA,t,3,3.3,0
PANAISF,Panais France,02PANA,t,3,3.5,0
PANFRSECS,Panier Fruits secs,03FS,f,2,14,0
PANIERGARNIGM,Panier Cadeau Garni Grand Modèle,04ACCJARD,f,1,25,0
PANIERGARNIPM,Panier Garni Cadeau Petit Modèle,04ACCJARD,f,1,20,0
PANIRCHEVHERB,Panir de chèvre HERBES piece,12ECOLONIE,f,2,3.8,0
PANIRCHEVNAT,Panir de chèvre NATURE Pièce,12ECOLONIE,f,2,3.7,0
PAPRIKAARCADIE,Paprika doux Arcadie 70 gr,04MOUT,f,1,4.5,0
PAPYE,Papaye Cameroun,03CHERI,t,3,6.2,0
PARMESANSCOT,Parmesan Reggiano kg,04FROMAGE,t,3,38.52,2
PASTEQ,Pastèque  mini espagne kg,03PASTEQUE,t,3,1.9,2
PASTEQJAR,Pastèque jardins,03PASTEQUE,t,3,2.5,0
PASTJAUES,Pastéque jaune Espagne,03PASTEQUE,t,3,2.15,2
PASTPLA,Pastèque Bio Plant,05MELON,f,2,2.2,0
PASUCR,Pain de sucre poids,02SALA,t,3,5,0
PATATE,Patate Douce Espagne kg,02PATATE,t,3,4.2,2
PATDOUJA,Patate douce Jardins,02PATATE,t,3,4.9,0
PATE,Bel Air Tortilles 300 g,04PATES,f,1,2.9,2
PATEC,Bel air Coquilles 300g,04PATES,f,1,2.9,2
PATECURRY,Pâte pour Curry,04TAPEN,f,1,4.2,2
PATEF,Bel air Farelles 300g,04PATES,f,1,2.9,2
PATEFUSILLI,Pate fusilli sicile 500g,04PATES,f,2,2.3,2
PATEMACHERONI,Pate macheroni sicile 500g,04PATES,f,2,2.3,2
PATESPAG,Pate spaghetti sicile 500g,04PATES,f,2,2.3,2
PATESS,Bel air Souplettes 300g,04PATES,f,1,2.9,2
PATETAGLIATELLE,Pate tagliatelle sicile 500g,04PATES,f,2,2.3,2
PATETANDOORI,Pâte pour Tandoori,04TAPEN,f,1,4.2,2
PATEVEGET,"Paté végétal indien, mexicain",04TAPEN,f,1,4.1,2
PATEVEGETESCA,Paté végétal escalivade,04TAPEN,f,1,4.1,2
PATEVRAC,Pates vrac,04CEREALE,t,3,4.2,2
PATI,Patisson Bio Plant,05POTI,f,2,1.5,0
PATISSON,Patisson,02POTIR,t,3,2,0
PAVOT,Pavot au kg vrac,04CEREALE,t,3,10.5,2
PBLE05,Pain au blé semi-complet 500 g,04PA,f,2,2.1,2
PBLE10,Pain au blé semi-complet 1Kg,04PA,f,2,3.8,2
PBLEMOULE,Pain blé moulé 500g,04PA,f,1,2.2,2
PDT10KG,Pomme de terre primeur Anais alsace,02POMM,t,3,3.1,0
PDTALSACE,Pomme de Terre Charlotte France,02POMM,t,3,2.9,0
PDTKG,Pomme de terre primeur charlotte FRa,02POMM,t,3,4.4,0
PDTNKGJAR,Pomme de terre Jardins,02POMM,t,3,2.6,0
PDTPRAL,Pdt primeur avanti alsace,02POMM,t,3,3.2,2
PDTPRI,Pomme de terre avanti alsace,02POMM,t,3,4.4,2
PDTRAT,Pomme de Terre Ratte Alsace,02POMM,t,3,4.95,0
PECHE,Pêche,03PECHE,t,3,5.95,2
PECHE_JAUNE,Peche jaune,03PECHE,t,3,7,0
PECHESBARQUETTE,Barquette de pêches,03PECHE,f,1,2.9,2
PECHJ,Pêche plate france,03PECHE,t,3,7.75,2
PECHJA,Pêche de vigne,03PECHE,t,3,6.7,2
PECPLA,Pêche Sanguine,03PECHE,t,3,7.55,2
PEFR,Persil frisé Bio Plant,05AROMCH,f,2,2.3,0
PEPE05,Epeautre 500 g,04PA,f,2,3.2,2
PEPL,Persil plat Bio Plant,05AROMCH,f,2,2.3,0
PEPOIS,Petit pois Jardins,02POIS,t,3,8,0
PERSIL,Persil vrac,02AROM,t,3,28,0
PERSILFR,Persil Bouquet,02AROM,f,2,1,2
PERSILJARD,Persil bouquet jardins,02AROM,f,1,1.4,0
PERSILSCOT,Persil frisé,02AROM,f,2,1.65,0
PETEPEA,Farine Bel air petit épeautre 750g,04FA,f,1,4,2
PETITE,Petit Epeautre 500g,04PA,f,2,3.15,2
PETPOM,Jus pétillant de pomme 27.5cl,04JF,f,1,2.5,0
PETRHUB,Jus pétillant de rhubarbe 27.5cl,04JF,f,1,2.5,2
PHYSABQ,Physalis Jardins,03CHERI,t,3,11,2
PHYSALIS,Physalis Bio Plant,05PLANT,f,2,2.3,0
PIGNON,Pignons de Pin Espagne,03FS,f,1,17.3,2
PIMENT,Piment Bio Plant,05SOLAN,f,2,1.5,0
PIMPREN,Pimprenelle Bio Plant,05AROMCH,f,2,2.3,0
PISSEN,Pissenlit,02SALA,t,3,18,0
PISTA,Pistache déc.vrac Italie,03FS,t,3,63,2
PISTA250,Pistache décortiquée 250 grs,03FS,f,2,14.55,2
PL2,Plant divers à 1.50,05PL,f,2,1.5,0
PL3,Plant divers à 2.20,05PL,f,2,2.2,0
