code,famille,code_parent,arborescence
02POIR,Poireau,02FEUILLE,Jardin.Primeur.Legumes.Feuilles.Poireau
02SOLAN,*** Solanacées,02,Jardin.Primeur.Legumes.Solanacees
02AUBE,Aubergine,02SOLAN,Jardin.Primeur.Legumes.Solanacees.Aubergine
02POIV,Poivron,02SOLAN,Jardin.Primeur.Legumes.Solanacees.Poivron
02TOMA,Tomates,02SOLAN,Jardin.Primeur.Legumes.Solanacees.Tomates
02CHAM,Champignons,02,Jardin.Primeur.Legumes.Champignon
02CHOU,Chou,02,Jardin.Primeur.Legumes.Chou
02MAIS,Maïs,02,Jardin.Primeur.Legumes.Mais
03,** Fruits,01,Jardin.Primeur.Fruits
03AGRUMES,*** Agrumes,03,Jardin.Primeur.Fruits.Agrumes
03CITRON,Citron,03AGRUMES,Jardin.Primeur.Fruits.Agrumes.Citron
03CLEMEN,Clémentine,03AGRUMES,Jardin.Primeur.Fruits.Agrumes.Clementine
03ORANGE,Orange,03AGRUMES,Jardin.Primeur.Fruits.Agrumes.Orange
03POMELOS,Pomelos,03AGRUMES,Jardin.Primeur.Fruits.Agrumes.Pomelos
03MALOIDEES,*** Fruits à pépin,03,Jardin.Primeur.Fruits.Pepins
03POIRE,Poire,03MALOIDEES,Jardin.Primeur.Fruits.Pepins.Poire
03POMME,Pomme,03MALOIDEES,Jardin.Primeur.Fruits.Pepins.Pomme
03BAIES,Baies,03,Jardin.Primeur.Fruits.Baies
03CUCURB,*** Cucurbitacées,03,Jardin.Primeur.Fruits.Cucurbitacees
03MELON,Melon,03CUCURB,Jardin.Primeur.Fruits.Cucurbitacees.Melon
03PASTEQUE,Pastèque,03CUCURB,Jardin.Primeur.Fruits.Cucurbitacees.Pasteque
03EXOTIQ,** Fruits exotiques,,Jardin.Primeur.Fruits.Exotiques
03ANANAS,Ananas,03EXOTIQ,Jardin.Primeur.Fruits.Exotiques.Ananas
03AVOCAT,Avocat,03EXOTIQ,Jardin.Primeur.Fruits.Exotiques.Avocat
03CHERI,Chérimoya,03EXOTIQ,Jardin.Primeur.Fruits.Exotiques.Cherimoya
03MANGUE,Mangue,03EXOTIQ,Jardin.Primeur.Fruits.Exotiques.Mangue
