compta;facture,jour;article;libelle;qte;pu;montant
COLLIVA01;FA23000294;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLLIVA01;FA2400318;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLLIVA01;AFA2500324;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLLIVA01;AFA2600311;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLLOAL01;FA20000325;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLLOAL01;FA2100364;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLLOAL01;FA2200326;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLLOAL01;FA23000296;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLLOAL01;FA2400319;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLLOAL01;AFA2500326;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLLOAL01;AFV2500352;2025-12-05 00:00:00.000;ACOT;Cotisation année 2025;-1.000000;5.000000;-5.000000
COLLOEV01;FA20000328;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLLOEV01;FA2100367;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLLOEV01;FA2200328;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLLOEV01;FV2200196;2022-03-22 00:00:00.000;ACOT;Cotisation année 2022;-1.000000;30.000000;-30.000000
COLLOMA01;FA20000326;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLLOMA01;FA2100365;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLLOMA01;FA2200327;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLLOMA01;FA23000297;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLLOMA01;FA2400320;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLLOMA01;AFA2500327;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLLOMA01;AFA2600312;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLLOMA02;FA20000327;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLLOMA02;FA2100366;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLNAPA01;FA23000298;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLNAPA01;FV23000186;2023-06-21 00:00:00.000;ACOT;Cotisation année 2023;-1.000000;30.000000;-30.000000
COLNAPA01;FA2400321;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLNAPA01;AFA2500328;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNAPA01;AFA2600313;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLNECL01;FA20000329;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLNECL01;FA2100368;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLNECL01;FA2200329;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLNECL01;FA23000299;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLNECL01;FA2400322;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLNECL01;AFA2500329;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNODO01;FA2100371;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLNODO01;FA2200331;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLNODO01;FA23000301;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLNODO01;FA2400324;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLNODO01;AFA2500331;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNODO01;AFA2600315;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLNODO02;FA23000304;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLNODO02;FA2400327;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLNODO02;AFA2500334;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNODO02;AFV2500353;2025-12-05 00:00:00.000;ACOT;Cotisation année 2025;-1.000000;5.000000;-5.000000
COLNOIS02;FA2100372;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLNOIS02;FA2200332;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLNOIS02;FA23000302;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLNOIS02;FA2400325;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLNOIS02;AFA2500332;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNOIS02;AFA2600316;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLNOJU01;FA23000303;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLNOJU01;FA2400326;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLNOJU01;AFA2500333;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNOJU01;AFA2600317;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLNOMA01;FA20000331;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLNOMA01;FA2100370;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLNOMA01;FA2200330;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLNOMA01;FA23000300;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLNOMA01;FA2400323;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLNOMA01;AFA2500330;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNOMA01;AFA2600314;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLNOMA02;AFA2502848;2025-02-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLNOMA02;AFA2600318;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLNOYV01;FA20000330;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLNOYV01;FA2100369;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLNOYV01;FA2203119;2022-04-27 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLOMDO01;FA20000332;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLOMDO01;FA2100373;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLOMDO01;FA2200333;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLOMDO01;FA23000305;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLOMDO01;FA2400328;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLOMDO01;AFA2500335;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLOMDO01;AFA2600319;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COLSOFR01;FA20000334;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLSOFR01;FA2100375;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLSOFR01;FA2200335;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLSOFR01;FV2200197;2022-03-22 00:00:00.000;ACOT;Cotisation année 2022;-1.000000;30.000000;-30.000000
COLSOJE01;FA20000333;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COLSOJE01;FA2100374;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COLSOJE01;FA2200334;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COLSOJE01;FA23000306;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COLSOJE01;FA2400329;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COLSOJE01;AFA2500336;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COLSOJE01;AFA2600320;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COMBEMA01;FA20002677;2020-01-31 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COMBEMA01;FA2100376;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COMBEMA01;FV2100173;2021-06-08 00:00:00.000;ACOT;Cotisation année 2021;-1.000000;30.000000;-30.000000
COMBEMA01;FA2103416;2021-07-05 00:00:00.000;ACOT;Cotisation annuelle;1.000000;30.000000;30.000000
COMBEMA01;FA2200336;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COMBEMA01;FA23000307;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COMBEMA01;FA2400330;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COMBEMA01;FV2400075;2024-02-14 00:00:00.000;ACOT;Cotisation année 2024;-1.000000;5.000000;-5.000000
COMBEMA01;FA2403285;2024-05-23 00:00:00.000;ACOT;Cotisation annuelle;1.000000;5.000000;5.000000
COMBEMA01;AFA2500337;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COMBEMA01;AFA2600321;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COMESHE01;FA2102838;2021-02-01 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COMESHE01;FA2200337;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COMESHE01;FA23000308;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COMESHE01;FA2400331;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COMESHE01;AFA2500338;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COMESHE01;AFA2600322;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COMINO01;FA20000335;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
COMINO01;FA2100377;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COMINO01;FA2200338;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COMINO01;FA23000309;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COMINO01;FA2400332;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COMINO01;AFA2500339;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COMINO01;AFA2600323;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COMPTLA01;FA2100378;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COMPTLA01;FA2200339;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COMPTLA01;FA23000310;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
COMPTLA01;FA2400333;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COMPTLA01;AFA2500340;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
COMPTLA01;AFA2600324;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONRABE01;FA20003317;2020-05-07 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONRABE01;FA2100380;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONRABE01;FV2100174;2021-06-08 00:00:00.000;ACOT;Cotisation année 2021;-1.000000;30.000000;-30.000000
CONRAGR01;FA20000338;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONRAGR01;FA2100382;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONRAGR01;FA2200342;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONRAGR01;FA23000313;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONRAGR01;FA2400336;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONRAGR01;AFA2500343;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONRAGR01;AFA2600327;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONRALA01;FA23002906;2023-05-04 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONRALA01;FA2400338;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONRALA01;FV2300618;2024-03-20 00:00:00.000;ACOT;Cotisation année 2024;-1.000000;5.000000;-5.000000
CONRAVE01;FA20000337;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONRAVE01;FA2100381;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONRAVE01;FA2200341;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONRAVE01;FA23000312;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONRAVE01;FA2400335;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONRAVE01;AFA2500342;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONRAVE01;AFA2600326;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONRAVE02;FA20000339;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONRAVE02;FA2100383;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONRAVE02;FA2200343;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONRAVE02;FA23000314;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONRAVE02;FA2400337;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONRAVE02;AFA2500344;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONRAVE02;AFA2600328;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONRAYV01;FA20000336;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONRAYV01;FA2100379;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONRAYV01;FA2200340;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONRAYV01;FA23000311;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONRAYV01;FA2400334;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONRAYV01;AFA2500341;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONRAYV01;AFA2600325;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONSTAL01;FA23002909;2023-05-04 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONSTAL01;FA2400339;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONSTAL01;AFA2500345;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONSTAL01;AFA2600329;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONTADE01;FA20000340;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONTADE01;FA2100384;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONTADE01;FA2200344;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONTADE01;FA23000315;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONTADE01;FA2400340;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONTADE01;AFA2500346;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONTADE01;AFA2600330;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONTADE02;FA2200345;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONTADE02;FA23000316;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONTADE02;FA2400341;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONTADE02;AFA2500347;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONTADE02;AFA2600331;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONTAJE02;FA20000341;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONTAJE02;FA2100385;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONTAJE02;FA2200346;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONTAJE02;FA23000317;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONTAJE02;FA2400342;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONTAJE02;AFA2500348;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONTAJE02;AFA2600332;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONTEES01;FA2200347;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONTEES01;FA23000318;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONTEES01;FA2400343;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONTEES01;AFA2500349;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONTEES01;AFV2500354;2025-12-05 00:00:00.000;ACOT;Cotisation année 2025;-1.000000;5.000000;-5.000000
CONTEPE01;FA20003286;2020-05-05 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONTEPE01;FA2100386;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONTEPE01;FV2100039;2021-01-26 00:00:00.000;ACOT;Cotisation année 2021;-1.000000;30.000000;-30.000000
CONTEPE02;FA2403097;2024-04-10 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONTEPE02;AFA2500350;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONTEPE02;AFA2600333;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONTIBR01;FA20000342;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONTIBR01;FA2100387;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONTIBR01;FA2200348;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONTIBR01;FA23000319;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONTIBR01;FA2400344;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONTIBR01;AFA2500351;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONTIBR01;AFA2600334;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONTINA01;FA20000343;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONTINA01;FA2100388;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONTINA01;FA2200349;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONTINA01;FA23000320;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONTINA01;FA2400345;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONTINA01;AFA2500352;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONTINA01;AFA2600335;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CONVECH01;FA20000344;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CONVECH01;FA2100389;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CONVECH01;FA2200350;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CONVECH01;FA23000321;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CONVECH01;FA2400346;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CONVECH01;AFA2500353;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CONVECH01;AFA2600336;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COQBLBR01;FA20000345;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CORGNMI01;AFA2502946;2025-05-06 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CORGNMI01;AFA2600337;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CORGNST01;FA2400347;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CORGNST01;FV2400007;2024-01-19 00:00:00.000;ACOT;Cotisation année 2024;-1.000000;5.000000;-5.000000
CORNEOP01;FA2400348;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CORNEOP01;AFA2500354;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CORNEOP01;AFV2500355;2025-12-05 00:00:00.000;ACOT;Cotisation année 2025;-1.000000;5.000000;-5.000000
CORNUER01;FA20000346;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CORNUER01;FA2100390;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CORNUER01;FV2100175;2021-06-08 00:00:00.000;ACOT;Cotisation année 2021;-1.000000;30.000000;-30.000000
CORNUER01;FA2202925;2022-03-07 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CORNUER01;FA23000324;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CORNUER01;FA2400349;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CORNUER01;AFA2500355;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CORNUER01;AFA2600338;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
CORNUME01;FA2203195;2022-05-27 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CORNUOP01;FA2203166;2022-05-12 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CORNUOP01;FA23000323;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CORNUOP01;FV23000187;2023-06-21 00:00:00.000;ACOT;Cotisation année 2023;-1.000000;30.000000;-30.000000
CORTEEM01;FA20002648;2020-01-31 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
CORTEEM01;FA2100391;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
CORTEEM01;FA2200351;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
CORTEEM01;FA23000325;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
CORTEEM01;FA2400350;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
CORTEEM01;AFA2500356;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
CORTEEM01;AFA2600339;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
COSSEVE01;FA2102965;2021-03-15 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
COSSEVE01;FA2200352;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
COSSEVE01;FV2200198;2022-03-22 00:00:00.000;ACOT;Cotisation année 2022;-1.000000;30.000000;-30.000000
COSSIJO01;FA23004091;2024-02-22 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
COSSIJO01;AFA2500357;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
