compta;facture,jour;article;libelle;qte;pu;montant
ADAMRA01;FA2400011;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ADAMRA01;AFA2500008;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ADAMRA01;AFA2600007;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ADAMVNA01;FA20000004;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ADAMVNA01;FA2100013;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ADAMVNA01;FA2200008;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ADAMVNA01;FA23000007;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ADAMVNA01;FA2400008;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ADAMVNA01;AFA2500005;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ADAMVNA01;AFA2600004;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ADAPEI88;FA23002677;2023-01-31 00:00:00.000;ACOT;Cotisation annuelle;1.000000;30.000000;30.000000
ADINOMA01;FA20000007;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ADINOMA01;FA2100016;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ADINOMA01;FA2200011;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ADINOMA01;FA23000010;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ADINOMA01;FA2400012;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ADINOMA01;AFA2500009;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ADINOMA01;AFA2600009;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ADRIALI01;FA20000009;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ADRIALI01;FA2100018;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ADRIALI01;FA2200013;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ADRIALI01;FA23000011;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ADRIALI01;FA2400013;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ADRIALI01;AFA2500010;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ADRIALI01;AFA2600010;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ADRIAMA01;FA20000010;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ADRIAMA01;FV20000105;2020-06-16 00:00:00.000;ACOT;Cotisation année 2020;-1.000000;30.000000;-30.000000
ADRIAMA01;FA2402857;2024-02-07 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ADRIAMA01;AFA2500011;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ADRIAMA01;AFA2600011;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ADRIANI01;FA20000008;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ADRIANI01;FA2100017;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ADRIANI01;FA2200012;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
AFONSFR01;FA20003315;2020-05-07 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
AFONSFR01;FA2100019;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
AFONSFR01;FV2100185;2021-06-09 00:00:00.000;ACOT;Cotisation année 2021;-1.000000;30.000000;-30.000000
AGSU01;FA20003322;2020-05-07 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
AGSU01;FA2100020;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
AGSU01;FA2200014;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
AGSU01;FA23000012;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
AGSU01;FA2400014;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
AGUILCL01;FA20000011;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
