abonnement_id,adherent_id,panier_id,date_debut,nb,montant,mr_no,annee,qte,mois_depart,mois_nb,nb_initial,piece,abonnement_id_prec,reste_prec
30108,120,21,01-01-2026,50,1450,41,2026,1,1,12,50,AFA260162,0,0
30109,586,33,01-01-2026,50,950,41,2026,1,1,12,50,AFA260155,0,0
30110,202,23,01-01-2026,25,800,41,2026,1,1,12,25,AFA260158,0,0
30111,259716,23,01-01-2026,25,800,41,2026,1,1,12,25,AFA260158,0,0
30112,258809,33,01-01-2026,50,950,5,2026,1,1,12,50,AFA260155,0,0
30113,260465,21,01-01-2026,50,1450,41,2026,1,1,12,50,AFA260162,0,0
30114,121,21,01-01-2026,8,232,41,2026,1,1,12,50,AFA260162,0,0
30115,259191,21,01-01-2026,12,348,41,2026,1,1,12,50,AFA260162,0,0
30116,85,21,01-01-2026,50,1450,41,2026,1,1,12,50,AFA260162,0,0
30117,214,22,01-01-2026,50,1700,41,2026,1,1,12,50,AFA260155,0,0
30118,257785,35,01-01-2026,25,550,41,2026,1,1,12,25,AFA260153,0,0
30119,7711,37,01-01-2026,9,207,20,2026,1,1,12,0,AFA260152,0,0
30120,261058,23,01-01-2026,25,800,44,2026,1,1,12,25,AFA260158,0,0
30121,545,21,01-01-2026,50,1450,5,2026,1,1,12,50,AFA260162,0,0
30122,220,21,01-01-2026,50,1450,41,2026,1,1,12,50,AFA260162,0,0
30123,21,35,01-01-2026,25,550,41,2026,1,1,12,25,AFA260153,0,0
30124,258675,24,01-01-2026,25,900,20,2026,1,1,12,25,AFA260155,0,0
30125,259383,34,01-01-2026,50,1250,41,2026,1,1,12,50,AFA260151,0,0
30126,260375,33,01-01-2026,50,950,41,2026,1,1,12,50,AFA260155,0,0
30127,258509,21,01-01-2026,50,1450,41,2026,1,1,12,50,AFA260162,0,0
30128,260719,33,01-01-2026,50,950,41,2026,1,1,12,50,AFA260154,0,0
30129,260617,21,01-01-2026,2,58,41,2026,1,1,12,50,AFA260162,0,0
30131,258990,23,01-01-2026,25,800,41,2026,1,1,12,25,AFA260158,0,0
30132,258510,23,01-01-2026,2,64,41,2026,1,1,12,25,AFA260158,0,0
30133,258594,23,01-01-2026,25,800,41,2026,1,1,12,25,AFA260158,0,0
30134,257585,37,01-01-2026,24,552,41,2026,1,1,12,0,AFA260152,0,0
30135,260901,22,01-01-2026,50,1700,41,2026,1,1,12,50,AFA260155,0,0
30136,21678,21,01-01-2026,50,1450,41,2026,1,1,12,50,AFA260161,0,0
30137,244231,21,01-01-2026,50,1450,41,2026,1,1,12,50,AFA260161,0,0
30139,258449,27,01-01-2026,12,588,41,2026,1,1,12,50,AFA260163,0,0
30140,258528,23,01-01-2026,25,800,41,2026,1,1,12,25,AFA260158,0,0
