abonnement_id,adherent_id,panier_id,date_debut,nb,montant,mr_no,annee,qte,mois_depart,mois_nb,nb_initial,piece,abonnement_id_prec,reste_prec
22939,72,1,01-01-2023,50,624,5,2023,1,1,12,50,FA2300211,22938,1
22941,574,1,01-01-2023,50,624,44,2023,1,1,12,50,FA2300210,20966,0
22942,258899,2,01-01-2023,25,366,41,2023,1,1,12,25,FA2300150,20967,0
22944,259553,2,01-01-2023,25,366,5,2023,1,1,12,25,FA2300150,21995,0
22945,356,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300210,20970,0
22946,258794,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300210,20971,0
22947,21,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300210,20972,0
22948,258036,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300210,20973,3
22949,220,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300210,20974,0
22950,121,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300210,20975,0
22951,236077,1,01-01-2023,50,624,5,2023,1,1,12,50,FA2300210,20976,0
22952,218,1,01-01-2023,50,624,18,2023,1,1,12,50,FA2300210,20977,0
22953,258821,1,01-01-2023,51,636.48,41,2023,1,1,12,50,FA2300209,20978,1
22954,258634,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300209,20979,0
22955,89,3,01-01-2023,50,1074,41,2023,1,1,12,50,FA2300220,20980,0
22956,257002,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300209,20981,0
22957,258065,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300209,20982,0
22958,608,2,01-01-2023,25,366,18,2023,1,1,12,25,FA2300150,20983,0
22959,258545,1,01-01-2023,50,624,18,2023,1,1,12,50,FA2300209,20984,0
22960,168,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300209,20985,0
22961,163,3,01-01-2023,50,1074,20,2023,1,1,12,50,FA2300220,20986,0
22962,18277,1,01-01-2023,50,624,5,2023,1,1,12,50,FA2300209,20988,0
22963,28525,1,01-01-2023,55,686.4,5,2023,1,1,12,50,FA2300209,20989,5
22964,512,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300209,20990,0
22965,215,1,01-01-2023,50,624,5,2023,1,1,12,50,FA2300209,20992,0
22966,424,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300208,20993,0
22967,146,1,01-01-2023,50,624,41,2023,1,1,12,50,FA2300208,20994,0
