abonnement_id,adherent_id,panier_id,date_debut,nb,montant,mr_no,annee,qte,mois_depart,mois_nb,nb_initial,piece,abonnement_id_prec,reste_prec
26153,260265,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402274,24174,0
26154,574,1,01-01-2024,50,666,44,2024,1,1,12,50,,22941,1
26155,258899,2,01-01-2024,25,390,41,2024,1,1,12,25,FA2401692,22942,0
26156,259553,2,01-01-2024,25,390,5,2024,1,1,12,25,,22944,0
26157,356,1,01-01-2024,50,666,41,2024,1,1,12,50,,22945,1
26158,258794,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402271,22946,0
26159,21,1,01-01-2024,50,666,41,2024,1,1,12,50,,22947,0
26160,258036,1,01-01-2024,14,186.48,41,2024,1,1,12,50,,22948,4
26161,220,1,01-01-2024,50,666,41,2024,1,1,12,50,,22949,0
26162,121,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402267,22950,0
26163,236077,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402266,22951,0
26164,218,1,01-01-2024,50,666,18,2024,1,1,12,50,,22952,0
26165,258821,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402264,22953,0
26166,258634,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402263,22954,0
26167,89,3,01-01-2024,50,1146,41,2024,1,1,12,50,,22955,0
26168,257002,1,01-01-2024,50,666,41,2024,1,1,12,50,,22956,0
26169,258065,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402261,22957,0
26170,608,2,01-01-2024,25,390,18,2024,1,1,12,25,,22958,0
26171,258545,1,01-01-2024,50,666,18,2024,1,1,12,50,FA2402260,22959,0
26172,168,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402259,22960,0
26173,163,3,01-01-2024,27,618.84,20,2024,1,1,12,50,FA2402360,22961,2
26174,18277,1,01-01-2024,50,666,5,2024,1,1,12,50,,22962,0
26175,28525,1,01-01-2024,50,666,5,2024,1,1,12,50,,22963,0
26176,512,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402256,22964,0
26177,215,1,01-01-2024,50,666,5,2024,1,1,12,50,,22965,0
26178,424,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402254,22966,0
26179,146,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402253,22967,0
26180,120713,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402252,22968,0
26181,7303,1,01-01-2024,50,666,41,2024,1,1,12,50,,22969,0
26182,212,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402250,22970,0
26183,258474,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402249,22971,0
26184,258315,1,01-01-2024,50,666,41,2024,1,1,12,50,FA2402248,22972,0
