livraison_id,abonnement_id,qte,livre,depot_id,adherent_id,annee,jour,produit_id,semaine,distribution
1729009,22939,1,1,46,72,2023,2023-01-18,1,3,3
1729010,22939,1,1,46,72,2023,2023-01-25,1,4,3
1729011,22939,1,1,46,72,2023,2023-02-01,1,5,3
1729012,22939,1,1,46,72,2023,2023-02-08,1,6,3
1729013,22939,1,1,46,72,2023,2023-02-15,1,7,3
1729014,22939,1,1,46,72,2023,2023-02-22,1,8,3
1729015,22939,1,1,46,72,2023,2023-03-01,1,9,3
1729016,22939,1,1,46,72,2023,2023-03-08,1,10,3
1729017,22939,1,1,46,72,2023,2023-03-15,1,11,3
1729018,22939,1,1,46,72,2023,2023-03-22,1,12,3
1729019,22939,1,1,46,72,2023,2023-03-29,1,13,3
1729020,22939,1,1,46,72,2023,2023-04-05,1,14,3
1729021,22939,1,1,46,72,2023,2023-04-12,1,15,3
1729023,22939,1,1,46,72,2023,2023-04-26,1,17,3
1729024,22939,1,1,46,72,2023,2023-05-03,1,18,3
1729025,22939,1,1,46,72,2023,2023-05-10,1,19,3
1729026,22939,1,1,46,72,2023,2023-05-17,1,20,3
1729027,22939,1,1,46,72,2023,2023-05-24,1,21,3
1729028,22939,1,1,46,72,2023,2023-05-31,1,22,3
1729032,22939,1,1,46,72,2023,2023-06-28,1,26,3
1729033,22939,1,1,46,72,2023,2023-07-05,1,27,3
1729034,22939,1,1,46,72,2023,2023-07-12,1,28,3
1729035,22939,1,1,46,72,2023,2023-07-19,1,29,3
1729036,22939,1,1,46,72,2023,2023-07-26,1,30,3
1729037,22939,1,1,46,72,2023,2023-08-02,1,31,3
1729038,22939,1,1,46,72,2023,2023-08-09,1,32,3
1729039,22939,1,1,46,72,2023,2023-08-16,1,33,3
1729040,22939,1,1,46,72,2023,2023-08-23,1,34,3
1729041,22939,1,1,46,72,2023,2023-08-30,1,35,3
1729045,22939,1,1,46,72,2023,2023-09-27,1,39,3
1729046,22939,1,1,46,72,2023,2023-10-04,1,40,3
1729047,22939,1,1,46,72,2023,2023-10-11,1,41,3
1729048,22939,1,1,46,72,2023,2023-10-18,1,42,3
1729049,22939,1,1,46,72,2023,2023-10-25,1,43,3
1729050,22939,1,1,46,72,2023,2023-10-31,1,44,3
1729051,22939,1,1,46,72,2023,2023-11-08,1,45,3
1729052,22939,1,1,46,72,2023,2023-11-15,1,46,3
1729054,22939,1,1,46,72,2023,2023-11-29,1,48,3
1729055,22939,1,1,46,72,2023,2023-12-06,1,49,3
1729107,22941,1,1,1,574,2023,2023-01-06,1,1,8
1729108,22941,1,1,1,574,2023,2023-01-13,1,2,8
1729109,22941,1,1,1,574,2023,2023-01-20,1,3,8
1729110,22941,1,1,1,574,2023,2023-01-27,1,4,8
1729111,22941,1,1,1,574,2023,2023-02-03,1,5,8
1729112,22941,1,1,1,574,2023,2023-02-10,1,6,8
1729113,22941,1,1,1,574,2023,2023-02-17,1,7,8
1729114,22941,1,1,1,574,2023,2023-02-24,1,8,8
1729115,22941,1,1,1,574,2023,2023-03-03,1,9,8
1729116,22941,1,1,1,574,2023,2023-03-10,1,10,8
1729117,22941,1,1,1,574,2023,2023-03-17,1,11,8
1729118,22941,1,1,1,574,2023,2023-03-24,1,12,8
1729119,22941,1,1,1,574,2023,2023-03-31,1,13,8
1729120,22941,1,1,1,574,2023,2023-04-07,1,14,8
1729121,22941,1,1,1,574,2023,2023-04-14,1,15,8
1729122,22941,1,1,1,574,2023,2023-04-21,1,16,8
1729123,22941,1,1,1,574,2023,2023-04-28,1,17,8
1729124,22941,1,1,1,574,2023,2023-05-05,1,18,8
1729125,22941,1,1,1,574,2023,2023-05-12,1,19,8
1729126,22941,1,1,1,574,2023,2023-05-19,1,20,8
1729127,22941,1,1,1,574,2023,2023-05-26,1,21,8
1729128,22941,1,1,1,574,2023,2023-06-02,1,22,8
1729129,22941,1,1,1,574,2023,2023-06-09,1,23,8
1729130,22941,1,1,1,574,2023,2023-06-16,1,24,8
1729131,22941,1,1,1,574,2023,2023-06-23,1,25,8
1729132,22941,1,1,1,574,2023,2023-06-30,1,26,8
1729133,22941,1,1,1,574,2023,2023-07-07,1,27,8
1729134,22941,1,1,1,574,2023,2023-07-13,1,28,8
1729135,22941,1,1,1,574,2023,2023-07-21,1,29,8
1729136,22941,1,1,1,574,2023,2023-07-28,1,30,8
1729137,22941,1,1,1,574,2023,2023-08-04,1,31,8
1729138,22941,1,1,1,574,2023,2023-08-11,1,32,8
1729139,22941,1,1,1,574,2023,2023-08-18,1,33,8
1729140,22941,1,1,1,574,2023,2023-08-25,1,34,8
1729141,22941,1,1,1,574,2023,2023-09-01,1,35,8
1729142,22941,1,1,1,574,2023,2023-09-08,1,36,8
1729143,22941,1,1,1,574,2023,2023-09-15,1,37,8
1729144,22941,1,1,1,574,2023,2023-09-22,1,38,8
1729145,22941,1,1,1,574,2023,2023-09-29,1,39,8
1729146,22941,1,1,1,574,2023,2023-10-06,1,40,8
1729147,22941,1,1,1,574,2023,2023-10-13,1,41,8
1729148,22941,1,1,1,574,2023,2023-10-20,1,42,8
1729149,22941,1,1,1,574,2023,2023-10-27,1,43,8
1729150,22941,1,1,1,574,2023,2023-11-03,1,44,8
1729151,22941,1,1,1,574,2023,2023-11-10,1,45,8
1729152,22941,1,1,1,574,2023,2023-11-17,1,46,8
1729153,22941,1,1,1,574,2023,2023-11-24,1,47,8
1729155,22941,1,1,1,574,2023,2023-12-08,1,49,8
1729156,22941,1,1,1,574,2023,2023-12-15,1,50,8
1729157,22942,1,1,42,258899,2023,2023-01-04,1,1,3
1729159,22942,1,1,42,258899,2023,2023-01-18,1,3,3
1729161,22942,1,1,42,258899,2023,2023-02-01,1,5,3
1729163,22942,1,1,42,258899,2023,2023-02-15,1,7,3
1729165,22942,1,1,42,258899,2023,2023-03-01,1,9,3
1729167,22942,1,1,42,258899,2023,2023-03-15,1,11,3
1729170,22942,1,1,42,258899,2023,2023-04-05,1,14,3
1729172,22942,1,1,42,258899,2023,2023-04-19,1,16,3
1729175,22942,1,1,42,258899,2023,2023-05-10,1,19,3
1729176,22942,1,1,42,258899,2023,2023-05-17,1,20,3
1729179,22942,1,1,42,258899,2023,2023-06-07,1,23,3
1729181,22942,1,1,42,258899,2023,2023-06-21,1,25,3
1729183,22942,1,1,42,258899,2023,2023-07-05,1,27,3
1729184,22942,1,1,42,258899,2023,2023-07-12,1,28,3
1729187,22942,1,1,42,258899,2023,2023-08-02,1,31,3
1729189,22942,1,1,42,258899,2023,2023-08-16,1,33,3
1729191,22942,1,1,42,258899,2023,2023-08-30,1,35,3
1729193,22942,1,1,42,258899,2023,2023-09-13,1,37,3
1729195,22942,1,1,42,258899,2023,2023-09-27,1,39,3
1729197,22942,1,1,42,258899,2023,2023-10-11,1,41,3
1729199,22942,1,1,42,258899,2023,2023-10-25,1,43,3
1729201,22942,1,1,42,258899,2023,2023-11-08,1,45,3
1729203,22942,1,1,42,258899,2023,2023-11-22,1,47,3
1729205,22942,1,1,42,258899,2023,2023-12-06,1,49,3
1729206,22942,1,1,42,258899,2023,2023-12-13,1,50,3
1729257,22944,1,1,75,259553,2023,2023-01-03,1,1,1
1729259,22944,1,1,75,259553,2023,2023-01-17,1,3,1
1729261,22944,1,1,75,259553,2023,2023-01-31,1,5,1
1729263,22944,1,1,75,259553,2023,2023-02-14,1,7,1
1729265,22944,1,1,75,259553,2023,2023-02-28,1,9,1
1729267,22944,1,1,75,259553,2023,2023-03-14,1,11,1
1729269,22944,1,1,75,259553,2023,2023-03-28,1,13,1
1729271,22944,1,1,75,259553,2023,2023-04-11,1,15,1
1729273,22944,1,1,75,259553,2023,2023-04-25,1,17,1
1729276,22944,1,1,75,259553,2023,2023-05-16,1,20,1
1729278,22944,1,1,75,259553,2023,2023-05-30,1,22,1
1729280,22944,1,1,75,259553,2023,2023-06-13,1,24,1
1729284,22944,1,1,75,259553,2023,2023-07-11,1,28,1
1729285,22944,1,1,75,259553,2023,2023-07-18,1,29,1
1729286,22944,1,1,75,259553,2023,2023-07-25,1,30,1
1729288,22944,1,1,75,259553,2023,2023-08-08,1,32,1
1729290,22944,1,1,75,259553,2023,2023-08-22,1,34,1
