livraison_id,abonnement_id,qte,livre,depot_id,adherent_id,annee,jour,produit_id,semaine,distribution
1886953,26154,1,1,1,574,2024,2024-10-25,1,43,8
1886954,26154,1,1,1,574,2024,2024-10-31,1,44,8
1886955,26154,1,1,1,574,2024,2024-11-08,1,45,8
1886956,26154,1,1,1,574,2024,2024-11-15,1,46,8
1886957,26154,1,1,1,574,2024,2024-11-22,1,47,8
1886958,26154,1,1,1,574,2024,2024-11-29,1,48,8
1886959,26154,1,1,1,574,2024,2024-12-06,1,49,8
1886960,26154,1,1,1,574,2024,2024-12-13,1,50,8
1886961,26154,1,1,1,574,2024,2024-12-20,1,51,8
1886962,26155,1,1,42,258899,2024,2024-01-10,1,2,3
1886964,26155,1,1,42,258899,2024,2024-01-24,1,4,3
1886966,26155,1,1,42,258899,2024,2024-02-07,1,6,3
1886968,26155,1,1,42,258899,2024,2024-02-21,1,8,3
1886970,26155,1,1,42,258899,2024,2024-03-06,1,10,3
1886972,26155,1,1,42,258899,2024,2024-03-20,1,12,3
1886974,26155,1,1,42,258899,2024,2024-04-03,1,14,3
1886976,26155,1,1,42,258899,2024,2024-04-17,1,16,3
1886978,26155,1,1,42,258899,2024,2024-04-30,1,18,3
1886980,26155,1,1,42,258899,2024,2024-05-15,1,20,3
1886982,26155,1,1,42,258899,2024,2024-05-29,1,22,3
1886984,26155,1,1,42,258899,2024,2024-06-12,1,24,3
1886986,26155,1,1,42,258899,2024,2024-06-26,1,26,3
1886989,26155,1,1,42,258899,2024,2024-07-17,1,29,3
1886990,26155,1,1,42,258899,2024,2024-07-24,1,30,3
1886992,26155,1,1,42,258899,2024,2024-08-07,1,32,3
1886994,26155,1,1,42,258899,2024,2024-08-21,1,34,3
1886996,26155,1,1,42,258899,2024,2024-09-04,1,36,3
1886998,26155,1,1,42,258899,2024,2024-09-17,1,38,1
1887000,26155,1,1,42,258899,2024,2024-10-02,1,40,3
1887002,26155,1,1,42,258899,2024,2024-10-16,1,42,3
1887004,26155,1,1,42,258899,2024,2024-10-30,1,44,3
1887006,26155,1,1,42,258899,2024,2024-11-13,1,46,3
1887008,26155,1,1,42,258899,2024,2024-11-27,1,48,3
1887010,26155,1,1,42,258899,2024,2024-12-11,1,50,3
1887012,26156,1,1,75,259553,2024,2024-01-09,1,2,1
1887014,26156,1,1,75,259553,2024,2024-01-23,1,4,1
1887016,26156,1,1,75,259553,2024,2024-02-06,1,6,1
1887018,26156,1,1,75,259553,2024,2024-02-20,1,8,1
1887020,26156,1,1,75,259553,2024,2024-03-05,1,10,1
1887022,26156,1,1,75,259553,2024,2024-03-19,1,12,1
1887024,26156,1,1,75,259553,2024,2024-04-02,1,14,1
1887026,26156,1,1,75,259553,2024,2024-04-16,1,16,1
1887028,26156,1,1,75,259553,2024,2024-04-30,1,18,1
1887030,26156,1,1,75,259553,2024,2024-05-14,1,20,1
1887032,26156,1,1,75,259553,2024,2024-05-28,1,22,1
1887034,26156,1,1,75,259553,2024,2024-06-11,1,24,1
1887035,26156,1,1,75,259553,2024,2024-06-18,1,25,1
1887038,26156,1,1,75,259553,2024,2024-07-09,1,28,1
1887040,26156,1,1,75,259553,2024,2024-07-23,1,30,1
1887042,26156,1,1,75,259553,2024,2024-08-06,1,32,1
1887044,26156,1,1,75,259553,2024,2024-08-20,1,34,1
1887046,26156,1,1,75,259553,2024,2024-09-03,1,36,1
1887048,26156,1,1,75,259553,2024,2024-09-17,1,38,1
1887050,26156,1,1,75,259553,2024,2024-10-01,1,40,1
1887052,26156,1,1,75,259553,2024,2024-10-15,1,42,1
1887054,26156,1,1,75,259553,2024,2024-10-29,1,44,1
1887056,26156,1,1,75,259553,2024,2024-11-12,1,46,1
1887058,26156,1,1,75,259553,2024,2024-11-26,1,48,1
1887060,26156,1,1,75,259553,2024,2024-12-10,1,50,1
1887062,26157,1,1,42,356,2024,2024-01-12,1,2,7
1887063,26157,1,1,42,356,2024,2024-01-19,1,3,7
1887064,26157,1,1,42,356,2024,2024-01-26,1,4,7
1887065,26157,1,1,42,356,2024,2024-02-02,1,5,7
1887066,26157,1,1,42,356,2024,2024-02-09,1,6,7
1887067,26157,1,1,42,356,2024,2024-02-16,1,7,7
