régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
4,80391,MEGA CGR,NOUVELLE AQUITAINE,AVENUE DES FRERES LUMIERE,86041,Buxerolles,10127,86,86601,Poitiers,137075,04-Unités urbaines de 100 000 hbts ou plus,12,2174,53,23301,406805,402329,1.1,De 300 à 450 000 entrées,CGR,NON,NON,,FIXE,OUI,B,284,190,186,41.4,42.0,14.4,2.2,50,11.3,5.6,46.610272,0.367025
3,80572,CENTRE CULTUREL,CENTRE-VAL DE LOIRE,RUE DES PONTS,36031,Buzançais,4579,36,36109,Buzançais,4579,06-autres communes et unités urbaines,1,210,50,360,7344,5325,37.9,De 5 à 10 000 entrées,,OUI,E,JP,FIXE,NON,I,146,109,0,76.1,11.5,10.8,1.6,81,49.6,45.3,46.888094,1.419282
7,80942,CENTRE CULTUREL,OCCITANIE,RUE DU 19 MARS 1962,66028,Cabestany,10580,66,66701,Perpignan,205745,04-Unités urbaines de 100 000 hbts ou plus,1,235,52,385,13890,14322,-3.0,De 10 à 20 000 entrées,,OUI,C,,FIXE,NON,B,215,187,29,61.6,17.0,17.4,4.0,107,46.3,35.3,42.680362,2.934603
3,80981,LE NORMANDIE,NORMANDIE,9 AV PIAT,14117,Cabourg,3541,14,14402,Dives-sur-Mer,36529,05-Unités urbaines de 20 000 à 100 000 hbts,2,238,53,2306,44676,47809,-6.6,De 40 à 50 000 entrées,,OUI,D,JP,FIXE,NON,C,348,253,45,62.1,24.7,11.5,1.6,230,46.6,31.0,49.290634,-0.113862
4,80991,SALLE POLYVALENTE,OCCITANIE,SALLE POLYVALENTE,46040,Cabrerets,233,46,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,,50,413,12751,11064,15.2,De 10 à 20 000 entrées,,OUI,E,JP,ITINERANT,NON,R,148,66,0,78.2,4.5,8.8,8.6,103,68.3,62.4,44.530413,1.555391
7,81080,SALLE MISTRAL,PROVENCE-ALPES-COTE D'AZUR,SALLE MISTRAL,06026,Cabris,1413,06,06701,Nice,966577,04-Unités urbaines de 100 000 hbts ou plus,1,,49,443,13642,11078,23.1,De 10 à 20 000 entrées,CINEWEST,NON,NON,,ITINERANT,NON,B,128,107,1,62.0,28.7,7.6,1.6,59,28.3,26.6,43.655944,6.87474
2,81101,LA PLEIADE,ILE-DE-FRANCE,12 AVENUE COUSIN DE MERICOURT,94016,Cachan,30492,94,00851,Paris,10947378,02-Petite Couronne,3,802,50,3803,61250,61759,-0.8,De 50 à 80 000 entrées,,OUI,C,JP,FIXE,NON,B,334,235,120,57.9,23.7,15.1,3.3,246,60.5,51.4,48.795796,2.335316
4,81311,SALLE LUX,NOUVELLE AQUITAINE,PLACE DU CHATEAU,33081,Cadillac,2877,33,33202,Cadillac-sur-Garonne,5514,06-autres communes et unités urbaines,2,286,53,2511,38994,37932,2.8,De 30 à 40 000 entrées,,OUI,E,RDJPPR,FIXE,NON,C,218,143,32,61.8,21.2,13.0,4.0,167,64.7,60.0,44.636357,-0.320145
3,81414,SALLE PIERRE DAURE,NORMANDIE,UNIVERSITE DE CAEN,14118,Caen,109401,14,14701,Caen,212405,04-Unités urbaines de 100 000 hbts ou plus,1,768,24,27,9438,6315,49.5,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,C,24,13,3,54.5,24.2,19.4,1.9,15,60.0,56.6,49.17442,-0.333727
3,81451,CINEMA LUX,NORMANDIE,AV SAINTE THERESE,14118,Caen,109401,14,14701,Caen,212405,04-Unités urbaines de 100 000 hbts ou plus,3,477,53,6568,156687,159186,-1.6,De 150 à 200 000 entrées,,OUI,B,RDJPPR,FIXE,NON,C,400,216,154,54.1,21.9,16.7,7.3,303,85.4,75.1,49.168683,-0.337953
